time_ps,trace
1021.7,0
1021.75,0
1021.8,0
1021.85,0
1021.9,0
1021.95,0
1022,0
1022.05,0
1022.1,0
1022.15,0
1022.2,0
1022.25,0
1022.3,0
1022.35,0
1022.4,0
1022.45,0
1022.5,0
1022.55,0
1022.6,0
1022.65,0
1022.7,0
1022.75,0
1022.8,0
1022.85,0
1022.9,0
1022.95,0
1023,0
1023.05,0
1023.1,0
1023.15,0
1023.2,0
1023.25,0
1023.3,0
1023.35,0
1023.4,0
1023.45,0
1023.5,0
1023.55,0
1023.6,0
1023.65,0
1023.7,0
1023.75,0
1023.8,0
1023.85,0
1023.9,0
1023.95,0
1024,0
1024.05,0
1024.1,0
1024.15,0
1024.2,0
1024.25,0
1024.3,0
1024.35,0
1024.4,0
1024.45,0
1024.5,0
1024.55,0
1024.6,0
1024.65,0
1024.7,0
1024.75,0
1024.8,0
1024.85,0
1024.9,0
1024.95,0
1025,0
1025.05,0
1025.1,0
1025.15,0
1025.2,0
1025.25,0
1025.3,0
1025.35,0
1025.4,0
1025.45,0
1025.5,0
1025.55,0
1025.6,0
1025.65,0
1025.7,0
1025.75,0
1025.8,0
1025.85,0
1025.9,0
1025.95,0
1026,0
1026.05,0
1026.1,0
1026.15,0
1026.2,0
1026.25,0
1026.3,0
1026.35,0
1026.4,0
1026.45,0
1026.5,0
1026.55,0
1026.6,0
1026.65,0
1026.7,0
1026.75,0
1026.8,0
1026.85,0
1026.9,0
1026.95,0
1027,0
1027.05,0
1027.1,0
1027.15,0
1027.2,0
1027.25,0
1027.3,0
1027.35,0
1027.4,0
1027.45,0
1027.5,0
1027.55,0
1027.6,0
1027.65,0
1027.7,0
1027.75,0
1027.8,0
1027.85,0
1027.9,0
1027.95,0
1028,0
1028.05,0
1028.1,0
1028.15,0
1028.2,0
1028.25,0
1028.3,0
1028.35,0
1028.4,0
1028.45,0
1028.5,0
1028.55,0
1028.6,0
1028.65,0
1028.7,0
1028.75,0
1028.8,0
1028.85,0
1028.9,0
1028.95,0
1029,0
1029.05,0
1029.1,0
1029.15,0
1029.2,0
1029.25,0
1029.3,0
1029.35,0
1029.4,0
1029.45,0
1029.5,0
1029.55,0
1029.6,0
1029.65,0
1029.7,0
1029.75,0
1029.8,0
1029.85,0
1029.9,0
1029.95,0
1030,0
1030.05,0
1030.1,0
1030.15,0
1030.2,0
1030.25,0
1030.3,0
1030.35,0
1030.4,0
1030.45,0
1030.5,0
1030.55,0
1030.6,0
1030.65,0
1030.7,0
1030.75,0
1030.8,0
1030.85,0
1030.9,0
1030.95,0
1031,0
1031.05,0
1031.1,0
1031.15,0
1031.2,0
1031.25,0
1031.3,0
1031.35,0
1031.4,0
1031.45,0
1031.5,0
1031.55,0
1031.6,0
1031.65,0
1031.7,0
1031.75,0
1031.8,0
1031.85,0
1031.9,0
1031.95,0
1032,0
1032.05,0
1032.1,0
1032.15,0
1032.2,0
1032.25,0
1032.3,0
1032.35,0
1032.4,0
1032.45,0
1032.5,0
1032.55,0
1032.6,0
1032.65,0
1032.7,0
1032.75,0
1032.8,0
1032.85,0
1032.9,0
1032.95,0
1033,0
1033.05,0
1033.1,0
1033.15,0
1033.2,0.0002216854357031354
1033.25,-0.0002806192008990006
1033.3,-0.0005362881424340671
1033.35,-0.0004592782090180625
1033.4,-0.0001032206710800211
1033.45,0.0003829187662573342
1033.5,0.0008097630475341622
1033.55,0.00103765639850941
1033.6,0.001013303546844299
1033.65,0.0007902350318097439
1033.7,0.0004816418812456299
1033.75,0.0002184419539738289
1033.8,8.580071135009851e-05
1033.85,0.00010898614812669
1033.9,0.0002445544231599162
1033.95,0.0004191981908317289
1034,0.00055290746950082
1034.05,0.000598996424513581
1034.1,0.000545403817873354
1034.15,0.0004219853401202376
1034.2,0.0002743987031658537
1034.25,0.000156226731812657
1034.3,0.0001030222309138035
1034.35,0.000133773422782589
1034.4,0.0002390060821397222
1034.45,0.0003942937575493513
1034.5,0.0005579042427870817
1034.55,0.0006894892195985063
1034.6,0.0007508653673888803
1034.65,0.0007240985140206837
1034.7,0.0006090120472847383
1034.75,0.0004330569246241821
1034.8,0.0002380381097389259
1034.85,7.738639610578734e-05
1034.9,-6.036275609970856e-06
1034.95,1.416019555910361e-05
1035,0.0001319726198948344
1035.05,0.0003162578099984954
1035.1,0.0005126499541600229
1035.15,0.0006660244906291374
1035.2,0.0007312061503161357
1035.25,0.0006929612884005689
1035.3,0.0005649228516239444
1035.35,0.0003906805068558372
1035.4,0.000224368228090829
1035.45,0.0001185708140786179
1035.5,0.0001027192852519219
1035.55,0.0001789959591890698
1035.6,0.0003176745494235394
1035.65,0.0004718178114441594
1035.7,0.0005885725052161637
1035.75,0.0006304233365254096
1035.8,0.0005831604999931364
1035.85,0.0004637742117919025
1035.9,0.0003109766516113392
1035.95,0.0001758105909403519
1036,0.0001019691079986557
1036.05,0.0001149278197359624
1036.1,0.0002111810108462366
1036.15,0.0003622055614240958
1036.2,0.0005210643157709953
1036.25,0.0006393905909799856
1036.3,0.0006801486494225822
1036.35,0.0006307893708336558
1036.4,0.0005050365013845708
1036.45,0.0003400646342847512
1036.5,0.0001836859272128856
1036.55,8.127704776123121e-05
1036.6,6.140203104431071e-05
1036.65,0.0001286749599301472
1036.7,0.0002622067079495663
1036.75,0.0004227829147630014
1036.8,0.0005642430518419719
1036.85,0.0006470937057106093
1036.9,0.0006495653730566029
1036.95,0.0005731140746272048
1037,0.0004415896079099738
1037.05,0.0002932621850584809
1037.1,0.0001702180217133485
1037.15,0.000105575866302962
1037.2,0.0001155561576874779
1037.25,0.0001944073737120007
1037.3,0.0003181923557171791
1037.35,0.0004506080060007159
1037.4,0.0005551983545088523
1037.45,0.0006035425223680017
1037.5,0.0005847699982122703
1037.55,0.0005056148753953454
1037.6,0.0003902267267070053
1037.65,0.0002703315823282135
1037.7,0.0001790335355308472
1037.75,0.0001389328560975074
1037.8,0.0001595602624427328
1037.85,0.0002321693307997892
1037.9,0.0003362855844683814
1037.95,0.0004421191035883472
1038,0.0005226349623804835
1038.05,0.0005566691742461572
1038.1,0.0005383142081075124
1038.15,0.0004734991814472847
1038.2,0.0003822846220145491
1038.25,0.0002883372010899733
1038.3,0.0002173317779001051
1038.35,0.0001852292362384444
1038.4,0.0001997027450111548
1038.45,0.0002532787542269757
1038.5,0.0003314638357585004
1038.55,0.0004112229694895961
1038.6,0.0004731416128698948
1038.65,0.0005003020016195353
1038.7,0.0004886692672820867
1038.75,0.0004412203487411224
1038.8,0.0003733545932383213
1038.85,0.0003017255417166908
1038.9,0.0002467704911467137
1038.95,0.0002203043641270311
1039,0.0002300620092739924
1039.05,0.0002705023522806601
1039.1,0.0003322769791652721
1039.15,0.0003969735164311788
1039.2,0.0004499917825110857
1039.25,0.000475951046586955
1039.3,0.0004708467107641639
1039.35,0.0004341999132049294
1039.4,0.0003777356205198406
1039.45,0.0003132903339053665
1039.5,0.0002589585021768399
1039.55,0.0002253062634437539
1039.6,0.0002224459815462733
1039.65,0.0002480440430743679
1039.7,0.0002980082616208749
1039.75,0.0003575607783372987
1039.8,0.0004151700209643102
1039.85,0.0004548359821290358
1039.9,0.0004704518308427366
1039.95,0.0004562144473637573
1040,0.0004188178601695053
1040.05,0.0003644267504018873
1040.1,0.0003085452235483218
1040.15,0.0002606775588197579
1040.2,0.0002341205819376182
1040.25,0.0002307929686482555
1040.3,0.0002537726602062893
1040.35,0.000293039076009445
1040.4,0.0003453391185082591
1040.45,-0.008628989020490193
1040.5,-0.03883130586463566
1040.55,-0.09255952263533886
1040.6,-0.1658408195590574
1040.65,-0.244898477593545
1040.7,-0.3049434003876949
1040.75,-0.3120962900418866
1040.8,-0.23117828086328
1040.85,-0.03412999205812574
1040.9,0.2912884083603864
1040.95,0.7374712933425391
1041,1.282410144417246
1041.05,1.897481500057748
1041.1,2.556919541910564
1041.15,3.237317739317799
1041.2,3.916438640925525
1041.25,4.56484440420918
1041.3,5.146470508534409
1041.35,5.627058737768091
1041.4,5.979157264405065
1041.45,6.185814111498537
1041.5,6.235461808049747
1041.55,6.121354181462862
1041.6,5.840593148283163
1041.65,5.401712180368038
1041.7,4.825750622186431
1041.75,4.142277577786929
1041.8,3.383857888922094
1041.85,2.579597216680592
1041.9,1.759681676090241
1041.95,0.9532771151193834
1042,0.1977417673208849
1042.05,-0.4751210265032764
1042.1,-1.046732483114737
1042.15,-1.506511652083762
1042.2,-1.853723860899255
1042.25,-2.095777822659831
1042.3,-2.246897038054796
1042.35,-2.315438665355082
1042.4,-2.319422365515907
1042.45,-2.277037026021049
1042.5,-2.202694881453914
1042.55,-2.105347638460705
1042.6,-1.994056528294708
1042.65,-1.875410822749339
1042.7,-1.752390482716088
1042.75,-1.627667591907912
1042.8,-1.506624906665434
1042.85,-1.381628635944034
1042.9,-1.254091941192729
1042.95,-1.120248383071355
1043,-0.9749034818565179
1043.05,-0.8271394141722955
1043.1,-0.6746269569013367
1043.15,-0.5247242477845222
1043.2,-0.3856901653950343
1043.25,-0.2618232456645561
1043.3,-0.1597544852776223
1043.35,-0.08168358412927146
1043.4,-0.02983999416211887
1043.45,-0.004581255892744617
1043.5,-0.00155466748223381
1043.55,-0.01659532561131193
1043.6,-0.04376769593513306
1043.65,-0.07689795826170033
1043.7,-0.1099321419601065
1043.75,-0.1363168238674002
1043.8,-0.1520574289223937
1043.85,-0.1541373784335453
1043.9,-0.1422777172636066
1043.95,-0.1175869163342998
1044,-0.08309534859628671
1044.05,-0.04296983544368092
1044.1,-0.001865442270596707
1044.15,0.03555331761971795
1044.2,0.0654789004470208
1044.25,0.08509173000931017
1044.3,0.09268553134977611
1044.35,0.08809316633136406
1044.4,0.07266079572822799
1044.45,0.04897630200733365
1044.5,0.02051852825666466
1044.55,-0.008848393073717018
1044.6,-0.03534187047873449
1044.65,-0.05575794741950621
1044.7,-0.0678093377069274
1044.75,-0.07039716958689692
1044.8,-0.06365714495404659
1044.85,-0.0489144139511991
1044.9,-0.02842612416804137
1044.95,-0.005085491867218388
1045,0.01800700864989598
1045.05,0.03791125360462023
1045.1,0.05224604032891835
1045.15,0.05943042069410193
1045.2,0.05888236057902638
1045.25,0.05101242436798489
1045.3,0.03716265105868421
1045.35,0.0193591023023872
1045.4,6.027655297349401e-05
1045.45,-0.01821073655972049
1045.5,-0.03315345108913305
1045.55,-0.04301023147979954
1045.6,-0.0467296593833203
1045.65,-0.04410811421239514
1045.7,-0.03574196945069009
1045.75,-0.02295618624522149
1045.8,-0.007566182487138525
1045.85,0.008335386986643436
1045.9,0.02269667848620512
1045.95,0.03372757898878728
1046,0.0401578625910589
1046.05,0.04133823470582039
1046.1,0.03733901915821081
1046.15,0.0288712459971167
1046.2,0.01721141568371307
1046.25,0.003973804364571717
1046.3,-0.009067593097107625
1046.35,-0.02025516635242549
1046.4,-0.02821278731628707
1046.45,-0.03205453351160943
1046.5,-0.03143573502889657
1046.55,-0.02662030492456227
1046.6,-0.01837915392789018
1046.65,-0.007916613008091482
1046.7,0.003345827789317338
1046.75,0.0139147739155857
1046.8,0.02246543127956172
1046.85,0.02795918739666466
1046.9,0.02981318057354461
1046.95,0.0279111485057263
1047,0.02264870316273724
1047.05,0.01481560616734899
1047.1,0.00552813776928484
1047.15,-0.003975316419822395
1047.2,-0.01244881691008521
1047.25,-0.01884927419136873
1047.3,-0.02241330153476834
1047.35,-0.02279612456821313
