case_id,param_i,param_j,correlation
10,film_gamma_thz,film_thickness_um,-0.16921279696539143
10,film_gamma_thz,film_plasma_freq_thz,-0.07129076364186267
10,film_gamma_thz,film_gamma_thz,1.0
11,film_thickness_um,film_thickness_um,1.0
11,film_thickness_um,film_plasma_freq_thz,0.7571569171311959
11,film_thickness_um,film_gamma_thz,-0.17959411863465397
11,film_plasma_freq_thz,film_thickness_um,0.7571569171311959
11,film_plasma_freq_thz,film_plasma_freq_thz,1.0
11,film_plasma_freq_thz,film_gamma_thz,0.09067599833814023
11,film_gamma_thz,film_thickness_um,-0.17959411863465397
11,film_gamma_thz,film_plasma_freq_thz,0.09067599833814023
11,film_gamma_thz,film_gamma_thz,1.0
12,film_thickness_um,film_thickness_um,1.0
12,film_thickness_um,film_plasma_freq_thz,0.8437927004177309
12,film_thickness_um,film_gamma_thz,-0.16833761851293022
12,film_plasma_freq_thz,film_thickness_um,0.8437927004177309
12,film_plasma_freq_thz,film_plasma_freq_thz,1.0
12,film_plasma_freq_thz,film_gamma_thz,-0.06964580205285668
12,film_gamma_thz,film_thickness_um,-0.16833761851293022
12,film_gamma_thz,film_plasma_freq_thz,-0.06964580205285668
12,film_gamma_thz,film_gamma_thz,1.0
13,film_thickness_um,film_thickness_um,1.0
13,film_thickness_um,film_plasma_freq_thz,0.8434691475992587
13,film_thickness_um,film_gamma_thz,-0.16796163587800053
13,film_plasma_freq_thz,film_thickness_um,0.8434691475992587
13,film_plasma_freq_thz,film_plasma_freq_thz,1.0
13,film_plasma_freq_thz,film_gamma_thz,-0.06894649714355958
13,film_gamma_thz,film_thickness_um,-0.16796163587800053
13,film_gamma_thz,film_plasma_freq_thz,-0.06894649714355958
13,film_gamma_thz,film_gamma_thz,1.0
14,film_thickness_um,film_thickness_um,1.0
14,film_thickness_um,film_plasma_freq_thz,0.8431805918549602
14,film_thickness_um,film_gamma_thz,-0.16762390015722362
14,film_plasma_freq_thz,film_thickness_um,0.8431805918549602
14,film_plasma_freq_thz,film_plasma_freq_thz,1.0
14,film_plasma_freq_thz,film_gamma_thz,-0.0683218763894029
14,film_gamma_thz,film_thickness_um,-0.16762390015722362
14,film_gamma_thz,film_plasma_freq_thz,-0.0683218763894029
14,film_gamma_thz,film_gamma_thz,1.0
15,film_thickness_um,film_thickness_um,1.0
15,film_thickness_um,film_plasma_freq_thz,0.7571452052985144
15,film_thickness_um,film_gamma_thz,-0.0975236124889246
15,film_plasma_freq_thz,film_thickness_um,0.7571452052985144
15,film_plasma_freq_thz,film_plasma_freq_thz,1.0
15,film_plasma_freq_thz,film_gamma_thz,0.12823768683964273
15,film_gamma_thz,film_thickness_um,-0.0975236124889246
15,film_gamma_thz,film_plasma_freq_thz,0.12823768683964273
15,film_gamma_thz,film_gamma_thz,1.0
16,film_thickness_um,film_thickness_um,1.0
16,film_thickness_um,film_plasma_freq_thz,0.8426929711663158
16,film_thickness_um,film_gamma_thz,-0.1670481509618602
16,film_plasma_freq_thz,film_thickness_um,0.8426929711663158
16,film_plasma_freq_thz,film_plasma_freq_thz,1.0
16,film_plasma_freq_thz,film_gamma_thz,-0.06726443466936413
16,film_gamma_thz,film_thickness_um,-0.1670481509618602
16,film_gamma_thz,film_plasma_freq_thz,-0.06726443466936413
16,film_gamma_thz,film_gamma_thz,1.0
17,film_thickness_um,film_thickness_um,1.0
17,film_thickness_um,film_plasma_freq_thz,0.8424875204773639
17,film_thickness_um,film_gamma_thz,-0.16680373584038594
17,film_plasma_freq_thz,film_thickness_um,0.8424875204773639
17,film_plasma_freq_thz,film_plasma_freq_thz,1.0
17,film_plasma_freq_thz,film_gamma_thz,-0.06681822374829094
17,film_gamma_thz,film_thickness_um,-0.16680373584038594
17,film_gamma_thz,film_plasma_freq_thz,-0.06681822374829094
17,film_gamma_thz,film_gamma_thz,1.0
18,film_thickness_um,film_thickness_um,1.0
18,film_thickness_um,film_plasma_freq_thz,0.842303076555026
18,film_thickness_um,film_gamma_thz,-0.16658341124489462
18,film_plasma_freq_thz,film_thickness_um,0.842303076555026
18,film_plasma_freq_thz,film_plasma_freq_thz,1.0
18,film_plasma_freq_thz,film_gamma_thz,-0.06641731572819867
18,film_gamma_thz,film_thickness_um,-0.16658341124489462
18,film_gamma_thz,film_plasma_freq_thz,-0.06641731572819867
18,film_gamma_thz,film_gamma_thz,1.0
19,film_thickness_um,film_thickness_um,1.0
19,film_thickness_um,film_plasma_freq_thz,0.8421353832285173
19,film_thickness_um,film_gamma_thz,-0.16638236989877273
19,film_plasma_freq_thz,film_thickness_um,0.8421353832285173
19,film_plasma_freq_thz,film_plasma_freq_thz,1.0
19,film_plasma_freq_thz,film_gamma_thz,-0.06605256380064586
19,film_gamma_thz,film_thickness_um,-0.16638236989877273
19,film_gamma_thz,film_plasma_freq_thz,-0.06605256380064586
19,film_gamma_thz,film_gamma_thz,1.0
20,film_thickness_um,film_thickness_um,1.0
20,film_thickness_um,film_plasma_freq_thz,0.747430591071723
20,film_thickness_um,film_gamma_thz,-0.030659948320392955
20,film_plasma_freq_thz,film_thickness_um,0.747430591071723
20,film_plasma_freq_thz,film_plasma_freq_thz,1.0
20,film_plasma_freq_thz,film_gamma_thz,0.1616471176303807
20,film_gamma_thz,film_thickness_um,-0.030659948320392955
20,film_gamma_thz,film_plasma_freq_thz,0.1616471176303807
