time_ps,trace
1023.7,0
1023.75,0
1023.8,0
1023.85,0
1023.9,0
1023.95,0
1024,0
1024.05,0
1024.1,0
1024.15,0
1024.2,0
1024.25,0
1024.3,0
1024.35,0
1024.4,0
1024.45,0
1024.5,0
1024.55,0
1024.6,0
1024.65,0
1024.7,0
1024.75,0
1024.8,0
1024.85,0
1024.9,0
1024.95,0
1025,0
1025.05,0
1025.1,0
1025.15,0
1025.2,0
1025.25,0
1025.3,0
1025.35,0
1025.4,0
1025.45,0
1025.5,0
1025.55,0
1025.6,0
1025.65,0
1025.7,0
1025.75,0
1025.8,0
1025.85,-0.001314766230913058
1025.9,-0.001761032562070581
1025.95,-0.001300000577582932
1026,0.002925051283426619
1026.05,0.006803269882327023
1026.1,0.009591305798054782
1026.15,0.01093567092618512
1026.2,0.020304795369791
1026.25,0.02934504914147686
1026.3,0.03377600458141877
1026.35,0.03537040061778544
1026.4,0.03515562078185666
1026.45,0.02992535329921723
1026.5,0.02685199829712949
1026.55,0.02442905113870015
1026.6,0.01926318888031539
1026.65,0.01595394676316829
1026.7,0.01708052666428514
1026.75,0.01953687364184623
1026.8,0.02490705989631056
1026.85,0.0287652108003073
1026.9,0.03342298910776465
1026.95,0.03864260149591754
1027,0.03707969022028629
1027.05,0.03254546277274286
1027.1,0.0275780031025025
1027.15,0.01757338698181247
1027.2,0.00842245066988144
1027.25,-0.002657936289264605
1027.3,-0.008826386809690502
1027.35,-0.01475804440766261
1027.4,-0.01983267765825688
1027.45,-0.02168425852961598
1027.5,-0.02142899080464963
1027.55,-0.0192895716144198
1027.6,-0.01595915408494143
1027.65,-0.01098889566082213
1027.7,-0.008712566440462968
1027.75,-0.006390144763748357
1027.8,-0.007195678317014167
1027.85,-0.01271065976028032
1027.9,-0.01474336196689356
1027.95,-0.01952898441238096
1028,-0.02858352048227942
1028.05,-0.03842384925788692
1028.1,-0.04396868999618549
1028.15,-0.05013271467926664
1028.2,-0.05882429319664864
1028.25,-0.07286560398734106
1028.3,-0.08348748284599933
1028.35,-0.09501864158664336
1028.4,-0.09495185731683965
1028.45,-0.09559221535869925
1028.5,-0.09146128827829149
1028.55,-0.07872508028045887
1028.6,-0.063462597185605
1028.65,-0.04453749629266668
1028.7,-0.02292235724866646
1028.75,-0.007923238511753474
1028.8,-0.001983261346937952
1028.85,0.0003994289004073291
1028.9,-0.002731425506168716
1028.95,-0.003520786483311235
1029,-0.002965626362890654
1029.05,0.004981945873051369
1029.1,0.01784032281507919
1029.15,0.03381405979079719
1029.2,0.05479356454812864
1029.25,0.07831862448984044
1029.3,0.1000285649064113
1029.35,0.1091594180992163
1029.4,0.1093588629733997
1029.45,0.09821330615305572
1029.5,0.06425162241376982
1029.55,0.01668637268879949
1029.6,-0.04167376164835873
1029.65,-0.1030487293722008
1029.7,-0.1551462446173381
1029.75,-0.1871314505117696
1029.8,-0.2022313279012148
1029.85,-0.1954347851455581
1029.9,-0.1787167639877285
1029.95,-0.1562778729312504
