freq_thz,n,k
0.03255208333333306,3.420016161624364,0.008039408132574427
0.06510416666666612,3.420015421441894,0.003970158750736391
0.0976562499999992,3.420024430784372,0.00259348740198643
0.1302083333333322,3.420037753605422,0.001891794681328654
0.1627604166666653,3.420054191286146,0.001461910695114161
0.1953124999999984,3.42007294907965,0.001169591396990207
0.2278645833333314,3.420093328251915,0.0009573105725554455
0.2604166666666645,3.420114700241732,0.0007962276093816512
0.2929687499999976,3.420136517600644,0.0006701998939401009
0.3255208333333307,3.420158323820087,0.0005694087165472478
0.3580729166666637,3.420179755535584,0.0004874781092220357
0.3906249999999968,3.420200537700647,0.0004200451449064275
0.4231770833333298,3.420220474030021,0.0003639964175977176
0.4557291666666629,3.420239435056802,0.0003170346708045533
0.4882812499999959,3.420257345641753,0.0002774194706006168
0.5208333333333289,3.42027417315774,0.0002438045369357866
0.553385416666662,3.420289917033504,0.0002151312828732941
0.5859374999999952,3.420304599939921,0.0001905564464768576
0.6184895833333282,3.420318260638373,0.0001694012321714867
0.6510416666666613,3.420330948358727,0.0001511145321173828
0.6835937499999943,3.420342718502234,0.0001352456830784348
0.7161458333333275,3.420353629443891,0.0001214238821401193
0.7486979166666604,3.420363740218109,0.0001093423794015088
0.7812499999999936,3.420373108895795,9.874617764306144e-05
0.8138020833333266,3.420381791490813,8.942235703179687e-05
0.8463541666666595,3.420389841263757,8.119239654805492e-05
0.8789062499999927,3.420397308318195,7.390603443053437e-05
0.9114583333333257,3.420404239407903,6.743632784082145e-05
0.9440104166666589,3.420410677892842,6.167565544084423e-05
0.9765624999999919,3.42041666379705,5.653246698544696e-05
1.009114583333325,3.420422233933727,5.19286285564922e-05
1.041666666666658,3.42042742207213,4.779724539996805e-05
1.074218749999991,3.420432259127998,4.408086961530336e-05
1.106770833333324,3.420436773364567,4.07300193404567e-05
1.139322916666657,3.420440990595224,3.770195108760061e-05
1.17187499999999,3.420444934381764,3.495963859284332e-05
1.204427083333323,3.420448626224356,3.247092073615277e-05
1.236979166666656,3.420452085740863,3.020778834613692e-05
1.26953124999999,3.420455330834226,2.814578546419053e-05
1.302083333333323,3.420458377847423,2.626350523355636e-05
1.334635416666655,3.420461241706002,2.454216425308312e-05
1.367187499999989,3.420463936048545,2.29652421869613e-05
1.399739583333321,3.42046647334563,2.151817580092882e-05
1.432291666666655,3.420468865007998,2.018809851965492e-05
1.464843749999988,3.42047112148469,1.896361816114887e-05
1.497395833333321,3.420473252351928,1.783462677443641e-05
1.529947916666654,3.420475266393527,1.679213754357627e-05
1.562499999999987,3.42047717167358,1.582814456969242e-05
1.59505208333332,3.420478975602127,1.493550203916878e-05
1.627604166666653,3.420480684994463,1.410781985930778e-05
1.660156249999986,3.420482306124704,1.333937331567181e-05
1.692708333333319,3.420483844774167,1.262502469654823e-05
1.725260416666653,3.420485306275078,1.196015515443663e-05
1.757812499999985,3.420486695550065,1.134060534421461e-05
1.790364583333318,3.420488017147886,1.076262360246449e-05
1.822916666666651,3.42048927527572,1.022282062027171e-05
1.855468749999985,3.420490473828424,9.71812971909165e-06
1.888020833333318,3.420491616415009,9.245771971297324e-06
1.920572916666651,3.420492706382659,8.803225518075743e-06
1.953124999999984,3.4204937468385,8.388198530971346e-06
1.985677083333317,3.420494740669371,7.998605342487215e-06
2.01822916666665,3.420495690559783,7.632545338142395e-06
2.050781249999983,3.420496599008247,7.288284259224678e-06
2.083333333333316,3.420497468342136,6.964237613807703e-06
2.115885416666649,3.420498300731213,6.658955934778033e-06
2.148437499999982,3.420499098199971,6.37111165876892e-06
2.180989583333315,3.420499862638882,6.099487429963399e-06
2.213541666666648,3.420500595814676,5.842965658494942e-06
2.246093749999981,3.42050129937973,5.600519185294942e-06
2.278645833333314,3.420501974880656,5.371202924263555e-06
2.311197916666647,3.420502623766162,5.154146369035661e-06
2.343749999999981,3.420503247394262,4.948546865766302e-06
2.376302083333313,3.420503847038872,4.753663565597142e-06
2.408854166666647,3.420504423895881,4.568811981064963e-06
2.44140624999998,3.420504979088715,4.393359079909275e-06
2.473958333333313,3.420505513673454,4.226718857727127e-06
2.506510416666646,3.420506028643546,4.068348337878914e-06
2.539062499999979,3.420506524934141,3.917743953112315e-06
2.571614583333312,3.420507003426086,3.774438268665401e-06
2.604166666666645,3.420507464949611,3.637997011238984e-06
2.636718749999978,3.42050791028773,3.508016372281825e-06
2.669270833333311,3.420508340179386,3.384120557587162e-06
2.701822916666644,3.420508755322347,3.265959558320851e-06
2.734374999999977,3.420509156375902,3.153207121346906e-06
2.76692708333331,3.420509543963339,3.045558899133874e-06
2.799479166666643,3.420509918674257,2.942730761657592e-06
2.832031249999976,3.420510281066695,2.844457254598184e-06
2.86458333333331,3.420510631669118,2.750490189793657e-06
2.897135416666643,3.420510970982257,2.660597355385572e-06
2.929687499999976,3.420511299480816,2.574561334398302e-06
2.962239583333309,3.420511617615059,2.492178421652061e-06
2.994791666666642,3.420511925812295,2.413257629939571e-06
3.027343749999974,3.420512224478249,2.337619777312012e-06
3.059895833333308,3.420512513998344,2.265096648135614e-06
3.092447916666641,3.420512794738898,2.19553022130728e-06
3.124999999999974,3.420513067048237,2.128771959666765e-06
3.157552083333307,3.420513331257737,2.064682155222865e-06
3.19010416666664,3.420513587682792,2.003129325329757e-06
3.222656249999973,3.420513836623725,1.943989655414198e-06
3.255208333333306,3.420514078366634,1.887146484270657e-06
3.287760416666639,3.420514313184188,1.832489828315026e-06
3.320312499999972,3.420514541336369,1.779915941523107e-06
3.352864583333306,3.420514763071167,1.729326908081855e-06
3.385416666666638,3.420514978625235,1.680630265052734e-06
3.417968749999972,3.4205151882245,1.633738652591194e-06
3.450520833333305,3.420515392084731,1.588569489486787e-06
3.483072916666638,3.420515590412088,1.54504467198739e-06
3.515624999999971,3.420515783403618,1.503090294050824e-06
3.548177083333304,3.420515971247737,1.462636387329626e-06
3.580729166666637,3.420516154124672,1.423616679341826e-06
3.61328124999997,3.420516332206886,1.385968368413717e-06
3.645833333333303,3.420516505659467,1.349631914101387e-06
3.678385416666636,3.420516674640507,1.314550841907226e-06
3.710937499999969,3.420516839301449,1.280671561207131e-06
3.743489583333302,3.420516999787418,1.247943195394401e-06
3.776041666666635,3.420517156237533,1.216317423328529e-06
3.808593749999969,3.420517308785202,1.185748331251869e-06
3.841145833333302,3.420517457558397,1.156192274405218e-06
3.873697916666634,3.420517602679918,1.127607747635464e-06
3.906249999999968,3.42051774426764,1.099955264345083e-06
3.938802083333301,3.420517882434746,1.073197243184908e-06
3.971354166666633,3.420518017289949,1.047297901938841e-06
4.003906249999966,3.420518148937699,1.022223158092343e-06
4.0364583333333,3.420518277478386,9.979405356160051e-07
4.069010416666633,3.420518403008519,9.744190775316368e-07
4.101562499999966,3.42051852562091,9.516292638614545e-07
4.134114583333299,3.420518645404842,9.295429345912562e-07
4.166666666666631,3.420518762446223,9.081332173063493e-07
4.199218749999965,3.42051887682774,8.873744591844995e-07
4.231770833333298,3.420518988629004,8.672421630537042e-07
4.264322916666631,3.420519097926684,8.477129272440769e-07
