param_i,param_j,correlation
film_gamma_thz,film_gamma_thz,1.0
film_gamma_thz,film_plasma_freq_thz,0.5169675256050956
film_gamma_thz,film_thickness_um,0.11346516445878567
film_plasma_freq_thz,film_gamma_thz,0.5169675256050956
film_plasma_freq_thz,film_plasma_freq_thz,1.0
film_plasma_freq_thz,film_thickness_um,0.5421138667854597
film_thickness_um,film_gamma_thz,0.11346516445878567
film_thickness_um,film_plasma_freq_thz,0.5421138667854597
film_thickness_um,film_thickness_um,1.0
