abs_err_n_cm3,abs_err_sigma_s_per_m,abs_err_tau_ps,abs_err_thickness_um,case_id,clean_peak_abs,data_fit,final_objective_value,fit_gamma_thz,fit_minus_initial_sigma_s_per_m,fit_minus_initial_tau_ps,fit_n_cm3,fit_plasma_freq_thz,fit_sigma,fit_sigma_s_per_m,fit_tau_ps,fit_thickness_um,initial_objective_value,initial_sigma_s_per_m,initial_tau_ps,log10_true_over_fit_n,max_abs_parameter_correlation,max_abs_residual,mean_abs_parameter_correlation,measurement_angle_deg,measurement_mode,measurement_polarization,noise_dynamic_range_db,noise_rms,noise_seed,noise_sigma,objective_improvement_fraction,observed_snr_db,optimizer_stage,recovery_error,relative_l2,residual_rms,sigma_s_per_m,signed_err_n_cm3,signed_err_sigma_s_per_m,signed_err_tau_ps,signed_err_thickness_um,stuck_to_initial,stuck_to_initial_sigma_s_per_m,stuck_to_initial_tau_ps,tau_ps,true_eps_inf,true_n_cm3,true_sigma_s_per_m,true_tau_ps,true_thickness_um,weighted_data_fit
3.246776979871998e+16,1924.0598295911034,0.34790665808331345,10.0,0,0.0403747901476354,1.0205842270098822,0.9879939242720435,0.3553306034184728,1707.8320635742655,0.13190665808331348,4.16943668889325e+16,3.5955363229867783,1.0102396879007898,2024.0598295911034,0.4479066580833135,715.0,4.434347529901167,316.22776601683796,0.316,-0.6550358275228513,0.8972525353484122,0.040484543540749235,0.4841706215624004,0.0,transmission,s,110.0,1.2241506774716753e-07,1000.0,1.2767629691785382e-07,0.7771951978030771,90.54586644112982,local,1.0320524727207487,1.0102396879007882,0.00416440445888679,100.0,-3.246776979871998e+16,-1924.0598295911034,-0.34790665808331345,10.0,False,False,False,0.1,11.7,9226597090212516.0,100.0,0.1,725.0,0.9879939242720435
2001338892.0,7.53855766788547e-05,1.446647112102184e-07,1.5918318922558683e-05,1,0.07500945634432546,1.020291273945606e-09,8.464303949522773e-11,1.1574892774112238,-216.22769063126128,-0.17849985533528878,6710250427906573.0,1.4424286930089805,3.1929108276831354e-05,100.00007538557668,0.13750014466471122,725.0000159183189,2.5299592271087636,316.22776601683796,0.316,1.2952874367928883e-07,0.5727720510154026,6.899613287818305e-07,0.41031357676325814,0.0,transmission,s,110.0,2.3602246165531998e-07,1001.0,2.3720072809903573e-07,0.9999999999665438,89.90566545341751,local,3.9747152538500697e-07,3.194199859034506e-05,2.3582985656300416e-07,100.0,2001338892.0,-7.53855766788547e-05,-1.446647112102184e-07,-1.5918318922558683e-05,False,False,False,0.1375,11.7,6710252429245465.0,100.0,0.1375,725.0,8.464303949522773e-11
1732417394.0,4.314389394721729e-05,1.7999273987934217e-08,1.7840857026385493e-05,2,0.1157157501358449,1.0160773418689164e-09,7.348652967389956e-11,0.9094569112083399,-216.2278091607319,-0.141000017999274,5272339461989759.0,1.2785763618824701,3.186222728460584e-05,99.99995685610605,0.174999982000726,724.999982159143,2.018423916233664,316.22776601683796,0.316,1.427031010682574e-07,0.5196184538248789,1.1179758818513717e-06,0.4034789222159037,0.0,transmission,s,110.0,3.6072302972695665e-07,1002.0,3.6592533158420847e-07,0.9999999999635921,89.92264285226511,local,1.362046019142637e-07,3.1875968093046464e-05,3.6038741835654885e-07,100.0,1732417394.0,4.314389394721729e-05,1.7999273987934217e-08,1.7840857026385493e-05,False,False,False,0.175,11.7,5272341194407153.0,100.0,0.175,725.0,7.348652967389956e-11
4325816169.5,0.00019198656667640535,1.9625979613691058e-07,2.3323936375163612e-05,3,0.1564201793316395,9.841365209095644e-10,6.186277926529485e-11,0.7489637463549326,-216.22757403027128,-0.10349980374020387,4341932368269118.5,1.1602899106843563,3.131760719963185e-05,100.00019198656668,0.21250019625979613,725.0000233239364,1.805349337886957,316.22776601683796,0.316,-4.326827017688374e-07,0.5988966252936272,1.3932863042029255e-06,0.3932813892513563,0.0,transmission,s,110.0,4.847755520391338e-07,1003.0,4.946440386999753e-07,0.9999999999657336,90.05551597785535,local,6.542490364119134e-07,3.1370950271063904e-05,4.839980794281524e-07,100.0,-4325816169.5,-0.00019198656667640535,-1.9625979613691058e-07,-2.3323936375163612e-05,False,False,False,0.2125,11.7,4341928042452949.0,100.0,0.2125,725.0,6.186277926529485e-11
2017165689.5,8.547564847560807e-05,3.503299986773456e-07,5.481863354361849e-07,4,0.1940209112036707,9.941942642804293e-10,6.472432609590958e-11,0.6366188802608155,-216.2276805411895,-0.06599964967000133,3690636818919317.5,1.0697336162698352,3.152627448590588e-05,100.00008547564848,0.2500003503299987,724.9999994518137,1.679903950418826,316.22776601683796,0.316,2.3736924864241338e-07,0.6594903944647182,2.33126802504846e-06,0.38367046626524365,0.0,transmission,s,110.0,6.140730402219024e-07,1004.0,6.135479931048807e-07,0.9999999999614715,90.01771427027083,local,5.040719497209494e-07,3.1530846234765555e-05,6.135383031520875e-07,100.0,2017165689.5,-8.547564847560807e-05,-3.503299986773456e-07,5.481863354361849e-07,False,False,False,0.25,11.7,3690638836085007.0,100.0,0.25,725.0,6.472432609590958e-11
2231310581.0,9.505137802534591e-05,7.338123453326517e-08,1.6313209698637365e-06,5,0.2274201721220421,9.585731852378539e-10,6.315191121492004e-11,0.5535822694585913,-216.22767096545994,-0.028499926618765492,3209253393123630.5,0.9975323600941133,3.0960297985011003e-05,100.00009505137803,0.2875000733812345,725.000001631321,1.5903560521216622,316.22776601683796,0.316,-3.0195378516175173e-07,0.6958710084136179,2.3785880344199682e-06,0.3752029438319476,0.0,transmission,s,110.0,7.200088703595829e-07,1005.0,7.191657297731814e-07,0.9999999999602907,90.17865607138795,local,3.0223628531488557e-07,3.096083308371811e-05,7.195864329436769e-07,100.0,-2231310581.0,-9.505137802534591e-05,-7.338123453326517e-08,-1.6313209698637365e-06,False,False,False,0.2875,11.7,3209251161813049.5,100.0,0.2875,725.0,6.315191121492004e-11
2.77343203074782e+16,2794.930692332615,0.5486506188450238,10.0,6,0.2563391551537194,1.0197974070821998,0.9889614013243766,0.18217230052706887,2578.702926315777,0.5576506188450236,3.057327325831282e+16,3.0789026514334052,1.0098501904155013,2894.930692332615,0.8736506188450237,715.0,1.5203876105623446,316.22776601683796,0.316,-1.032183742825463,0.8691150864110229,0.25726193021336363,0.3946497563108118,0.0,transmission,s,110.0,8.037110340973302e-07,1006.0,8.10615583769043e-07,0.34953337263871137,90.43241855611704,local,1.0772226435976335,1.0098501904154893,0.026976001458228472,100.0,-2.77343203074782e+16,-2794.930692332615,-0.5486506188450238,10.0,False,False,False,0.32499999999999996,11.7,2838952950834621.0,100.0,0.32499999999999996,725.0,0.9889614013243766
9543841046301778.0,1210.2457049894408,0.6375,10.0,7,0.2819962941575302,0.8260060126467267,0.6354902990449226,0.15915494309189535,994.0179389726029,0.6839999999999999,1.2089109209119024e+16,1.9360748306128355,0.9088487292430392,1310.2457049894408,1.0,715.0,1.4635500215907737,316.22776601683796,0.316,-0.676660755658333,0.8420009182572182,0.20996747692857712,0.35567463623142537,0.0,transmission,s,110.0,8.841417746839007e-07,1007.0,8.917505812646286e-07,0.565788466625698,90.57029199675917,local,0.8493193114059172,0.9088487292430609,0.02713485130384871,100.0,-9543841046301778.0,-1210.2457049894408,-0.6375,10.0,False,False,False,0.36250000000000004,11.7,2545268162817245.5,100.0,0.36250000000000004,725.0,0.6354902990449226
9491142631155204.0,1178.672059520548,0.6,10.0,8,0.3009176959674661,0.818718006868888,0.6470064804266997,0.15915494309189535,962.44429350371,0.6839999999999999,1.1797791903708334e+16,1.9126052978314563,0.9048303746386238,1278.672059520548,1.0,715.0,1.416717537186616,316.22776601683796,0.316,-0.7088191667662666,0.8413953580628127,0.23093986491300353,0.3547970758749146,0.0,transmission,s,110.0,9.499408243338718e-07,1008.0,9.515853075072585e-07,0.5433059424735043,90.73267664067173,local,0.8316465964935996,0.9048303746387429,0.029573174886275262,100.0,-9491142631155204.0,-1178.672059520548,-0.6,10.0,False,False,False,0.4,11.7,2306649272553129.0,100.0,0.4,725.0,0.6470064804266997
9439832600572616.0,1151.6823879289468,0.5625,10.0,9,0.3207036905114654,0.8165119575237825,0.65799521057821,0.15915494309189535,935.4546219121089,0.6839999999999999,1.1548769078335476e+16,1.8923124095139638,0.9036105120702035,1251.6823879289468,1.0,715.0,1.3775366743813133,316.22776601683796,0.316,-0.7384721987974283,0.8408624653642894,0.2527351711868518,0.35401982388244724,0.0,transmission,s,110.0,9.794870826845774e-07,1009.0,1.014154116037961e-06,0.5223392430740674,91.11547531182856,local,0.8165139759340729,0.9036105120702074,0.03182394629014118,100.0,-9439832600572616.0,-1151.6823879289468,-0.5625,10.0,False,False,False,0.4375,11.7,2108936477762861.0,100.0,0.4375,725.0,0.65799521057821
