abs_err_epi_thickness_um,abs_err_eps_inf,abs_err_n1_cm3,abs_err_oxide_thickness_um,abs_err_sigma1_s_per_m,abs_err_sigma2_s_per_m,abs_err_substrate_thickness_um,abs_err_tau1_ps,abs_err_tau2_ps,case_id,clean_peak_abs,data_fit,final_objective_value,fit_epi_thickness_um,fit_eps_inf,fit_gamma1_thz,fit_gamma2_thz,fit_minus_initial_sigma1_s_per_m,fit_minus_initial_tau1_ps,fit_n1_cm3,fit_oxide_thickness_um,fit_plasma_freq1_thz,fit_plasma_freq2_thz,fit_sigma,fit_sigma1_s_per_m,fit_sigma2_s_per_m,fit_substrate_thickness_um,fit_tau1_ps,fit_tau2_ps,initial_objective_value,initial_sigma1_s_per_m,initial_tau1_ps,log10_true_over_fit_n1,max_abs_parameter_correlation,max_abs_residual,mean_abs_parameter_correlation,measurement_angle_deg,measurement_mode,measurement_polarization,noise_dynamic_range_db,noise_rms,noise_seed,noise_sigma,objective_improvement_fraction,observed_snr_db,optimizer_stage,recovery_error,relative_l2,residual_rms,sigma1_s_per_m,signed_err_epi_thickness_um,signed_err_eps_inf,signed_err_n1_cm3,signed_err_oxide_thickness_um,signed_err_sigma1_s_per_m,signed_err_sigma2_s_per_m,signed_err_substrate_thickness_um,signed_err_tau1_ps,signed_err_tau2_ps,stuck_to_initial,stuck_to_initial_sigma1_s_per_m,stuck_to_initial_tau1_ps,tau1_ps,true_epi_thickness_um,true_eps_inf,true_n1_cm3,true_oxide_thickness_um,true_sigma1_s_per_m,true_sigma2_s_per_m,true_substrate_thickness_um,true_tau1_ps,true_tau2_ps,weighted_data_fit
0.0,0.0,636919848470.5206,0.0,0.021622776601683796,0.0,0.0,0.08708286933869705,0.0,0,0.9287887404378108,2.9622929310023784e-09,1.3325740308137725e-09,50.0,11.7,0.8507189549448236,0.19516831336626406,0.0,0.0,1559579557491.7722,10.0,0.021990178548361487,0.05511955100503445,5.476073310904027e-05,0.0316227766016838,0.8660254037844386,525.0,0.18708286933869706,0.8154753215150046,1.3325740308137725e-09,0.0316227766016838,0.18708286933869706,-0.22796597782486236,0.99879556013707,3.753889361246543e-05,0.47220226332052856,45.0,reflection,s,110.0,2.8160576480462113e-06,1000.0,2.937087884902417e-06,0.0,95.61329292757378,initial,0.4024937944992341,5.442695041064105e-05,9.249543672890313e-06,0.01,0.0,0.0,-636919848470.5206,0.0,-0.021622776601683796,0.0,0.0,-0.08708286933869705,0.0,True,True,True,0.1,50.0,11.7,922659709021.2516,10.0,0.01,0.8660254037844386,525.0,0.1,0.8154753215150046,1.3325740308137725e-09
1.0125233984581428e-11,0.0,723963045557.1523,2.218669692410913e-12,0.021622770408234397,1.632164712805917e-05,0.0,0.07666618662642248,1.458540510590467e-08,1,0.9100398112534717,3.0092165067978218e-09,1.3695510303807206e-09,49.999999999989875,11.7,0.8507190279087674,0.1951683098755283,-6.193449399172213e-09,-1.6045607897918757e-08,1559579385802.8142,9.999999999997781,0.021990177337948422,0.05512006991812554,5.485421552837178e-05,0.0316227704082344,0.8660417254315667,525.0,0.18708285329308916,0.8154753361004097,0.006146793460514551,0.0316227766016838,0.18708286933869706,-0.27100056224001756,0.958450514969014,3.7936078401412665e-05,0.2376126196815788,45.0,reflection,s,110.0,2.863503442424452e-06,1001.0,2.877798564990702e-06,0.9999997771926062,95.41498982786788,local,0.38887055589194824,5.485632604174128e-05,9.265599410048015e-06,0.01,1.0125233984581428e-11,0.0,-723963045557.1523,2.218669692410913e-12,-0.021622770408234397,-1.632164712805917e-05,0.0,-0.07666618662642248,-1.458540510590467e-08,True,True,True,0.11041666666666668,50.0,11.7,835616340245.6619,10.0,0.01,0.8660254037844386,525.0,0.11041666666666668,0.8154753215150046,1.3695510303807206e-09
1.8260948309034575e-12,0.0,796011833329.3663,2.504663143554353e-13,0.021623036114919073,4.928755370503524e-07,0.0,0.06624954488838912,4.694474398103665e-08,2,0.9475382184817506,2.930538892228582e-09,1.3153868574166076e-09,50.000000000001826,11.7,0.8507189145511855,0.1951683246015851,2.595132352761764e-07,8.883025398587208e-09,1559592282174.54,10.00000000000025,0.02199026825762766,0.05511953690665479,5.545007522093757e-05,0.031623036114919074,0.8660249109089015,525.0,0.18708287822172245,0.8154752745702606,0.005900604178270646,0.0316227766016838,0.18708286933869706,-0.3101562774268071,0.997658658247308,3.668167101628095e-05,0.4539391359649676,45.0,reflection,s,110.0,2.953779900762139e-06,1002.0,2.9963789404605852e-06,0.9999997770759032,95.35432686104076,local,0.3781835244171221,5.413445198973185e-05,9.366299223636406e-06,0.01,-1.8260948309034575e-12,0.0,-796011833329.3663,-2.504663143554353e-13,-0.021623036114919073,4.928755370503524e-07,0.0,-0.06624954488838912,4.694474398103665e-08,True,True,True,0.12083333333333333,50.0,11.7,763580448845.1737,10.0,0.01,0.8660254037844386,525.0,0.12083333333333333,0.8154753215150046,1.3153868574166076e-09
3.623767952376511e-12,0.0,856600568472.9174,7.460698725481052e-13,0.021622771917369617,8.379057482077457e-06,0.0,0.05583286119069489,8.567989318031266e-09,3,0.9162898316900255,3.0088621461477394e-09,1.3744189169920812e-09,49.999999999996376,11.7,0.8507189919961058,0.19516831131568085,-4.684314179603799e-09,-8.148002161867396e-09,1559579394393.871,9.999999999999254,0.02199017739851567,0.055119817363980764,5.488190847498404e-05,0.03162277191736962,0.8660337828419207,525.0,0.1870828611906949,0.8154753300829939,0.0027229129674575495,0.0316227766016838,0.18708286933869706,-0.3460652444851531,0.9998973773593984,4.041919865163668e-05,0.4479034823908686,45.0,reflection,s,110.0,2.8397545053544858e-06,1003.0,2.8975628649928124e-06,0.9999994952394978,95.49327978250705,local,0.3699296046661595,5.485309604888077e-05,9.271411680419961e-06,0.01,3.623767952376511e-12,0.0,-856600568472.9174,7.460698725481052e-13,-0.021622771917369617,-8.379057482077457e-06,0.0,-0.05583286119069489,-8.567989318031266e-09,True,True,True,0.13125,50.0,11.7,702978825920.9537,10.0,0.01,0.8660254037844386,525.0,0.13125,0.8154753215150046,1.3744189169920812e-09
0.0,0.0,908290351123.8298,0.0,0.021622776601683796,0.0,0.0,0.04541620267203039,0.0,4,0.9287893714786944,3.112449284712764e-09,1.3796898393966738e-09,50.0,11.7,0.8507189549448236,0.19516831336626406,0.0,0.0,1559579557491.7722,10.0,0.021990178548361487,0.05511955100503445,5.613120450330746e-05,0.0316227766016838,0.8660254037844386,525.0,0.18708286933869706,0.8154753215150046,1.3796898393966738e-09,0.0316227766016838,0.18708286933869706,-0.3792336531555114,0.9988093927829518,3.6148235940419715e-05,0.4722022755467698,45.0,reflection,s,110.0,2.9396033114748785e-06,1004.0,2.9370898804289057e-06,0.0,95.24036893029529,initial,0.3637200231841543,5.578932948792955e-05,9.481084702001929e-06,0.01,0.0,0.0,-908290351123.8298,0.0,-0.021622776601683796,0.0,0.0,-0.04541620267203039,0.0,True,True,True,0.14166666666666666,50.0,11.7,651289206367.9424,10.0,0.01,0.8660254037844386,525.0,0.14166666666666666,0.8154753215150046,1.3796898393966738e-09
2.2607338223679108e-10,0.0,952895444447.6542,4.9533710466675984e-11,0.021622656723518006,0.00026431088571832184,0.0,0.03499927740663575,2.400176788430741e-07,5,0.9100403604868167,0.0013690703880500801,0.0006827714123326264,49.99999999977393,11.7,0.85072013086833,0.1951682559226719,-1.1987816578989952e-07,-2.585987279590807e-07,1559575801064.3677,9.999999999950466,0.021990152065403733,0.055127953491824526,5.747044807723729e-05,0.03162265672351801,0.8662897146701569,525.0,0.1870826107399691,0.8154755615326834,0.006146697045350078,0.0316227766016838,0.18708286933869706,-0.4100465545200758,0.9987423949138557,0.006275040123511211,0.4560839788821314,45.0,reflection,s,110.0,2.8811741976174916e-06,1005.0,2.8778003018190393e-06,0.8889206012114854,95.3615725581781,local,0.35922811680445643,0.03700095117763975,0.00624973106890028,0.01,2.2607338223679108e-10,0.0,-952895444447.6542,4.9533710466675984e-11,-0.021622656723518006,-0.00026431088571832184,0.0,-0.03499927740663575,-2.400176788430741e-07,True,True,True,0.15208333333333335,50.0,11.7,606680356616.7135,10.0,0.01,0.8660254037844386,525.0,0.15208333333333335,0.8154753215150046,0.0006827714123326264
1.1509371233842103e-10,0.0,991887394846.4707,2.5220714405804756e-11,0.021624726444649703,0.00027803132122394825,0.0,0.024582597687923285,1.8683297012822564e-06,6,0.9100404533540171,3.2575695687447384e-09,1.475909268856755e-09,49.999999999884906,11.7,0.8507201902198585,0.19516876051602125,1.949842965906501e-06,-2.7165077376434255e-07,1559677985013.3948,9.99999999997478,0.021990872454810486,0.055128461317960585,5.70717544967475e-05,0.031624726444649705,0.8663034351056625,525.0,0.1870825976879233,0.8154734531853033,0.006146835255794901,0.0316227766016838,0.18708286933869706,-0.4388467512834819,0.9997343560597052,3.6207801811571905e-05,0.45215743114031065,45.0,reflection,s,110.0,2.85328846229896e-06,1006.0,2.8778005954909123e-06,0.9999997598911948,95.44605330971139,local,0.3562090494790992,5.707512215269222e-05,9.640402225676507e-06,0.01,1.1509371233842103e-10,0.0,-991887394846.4707,2.5220714405804756e-11,-0.021624726444649703,-0.00027803132122394825,0.0,-0.024582597687923285,1.8683297012822564e-06,True,True,True,0.1625,50.0,11.7,567790590166.9241,10.0,0.01,0.8660254037844386,525.0,0.1625,0.8154753215150046,1.475909268856755e-09
1.2221335055073723e-12,0.0,1025991938846.5876,2.504663143554353e-13,0.021622735686329282,9.035318972216988e-05,0.0,0.014166114266447788,8.165418852179585e-08,7,0.9162902386368091,0.001367209588296486,0.000680539937199231,49.99999999999878,11.7,0.8507193569503126,0.19516829382390855,-4.09153545141705e-08,-8.840558260447828e-08,1559578276593.8174,9.99999999999975,0.021990169517985197,0.05512242350585898,5.6826461783027054e-05,0.031622735686329284,0.8661157569741608,525.0,0.18708278093311445,0.8154754031691931,0.0027228018315283023,0.0316227766016838,0.18708286933869706,-0.46580247613489395,0.9999614303358492,0.006277048697160156,0.44881255182090707,45.0,reflection,s,110.0,2.8728408652818898e-06,1007.0,2.897564151871535e-06,0.750058954229054,95.39268095947561,local,0.3543789428645122,0.03697579733145028,0.006249760340045394,0.01,1.2221335055073723e-12,0.0,-1025991938846.5876,2.504663143554353e-13,-0.021622735686329282,-9.035318972216988e-05,0.0,-0.014166114266447788,-8.165418852179585e-08,True,True,True,0.17291666666666666,50.0,11.7,533586337747.2298,10.0,0.01,0.8660254037844386,525.0,0.17291666666666666,0.8154753215150046,0.000680539937199231
0.0,0.0,1056262932742.3264,0.0,0.02162179469746469,9.01295330485441e-05,0.0,0.003749448046672599,1.229063804064623e-07,8,0.910040598183123,3.447020195410527e-09,1.5691136428799857e-09,50.0,11.7,0.8507193549181682,0.1951682839509933,-9.819042191064331e-07,-8.795869110844734e-08,1559531864935.7363,10.0,0.021989842311638048,0.05512241499450955,5.870786002461982e-05,0.03162179469746469,0.8661155333174871,525.0,0.18708278138000595,0.815475444421385,0.006146911255748046,0.0316227766016838,0.18708286933869706,-0.4911941315003673,0.8910534781255391,3.8260008259516365e-05,0.39351344617805784,45.0,reflection,s,110.0,2.8728277784931e-06,1008.0,2.8778010534807587e-06,0.9999997447313654,95.38678235937967,local,0.35359851590316593,5.871132936163621e-05,9.916781939260764e-06,0.01,0.0,0.0,-1056262932742.3264,0.0,-0.02162179469746469,-9.01295330485441e-05,0.0,-0.003749448046672599,-1.229063804064623e-07,True,True,True,0.18333333333333335,50.0,11.7,503268932193.41,10.0,0.01,0.8660254037844386,525.0,0.18333333333333335,0.8154753215150046,1.5691136428799857e-09
2.7746693831431912e-11,0.0,1083367075918.9885,5.700329097635404e-12,0.021622744057631135,7.186318203034059e-05,0.0,0.006667200975863902,6.494380300203773e-08,9,0.9162903599207433,3.387089552304928e-09,1.5099868930078929e-09,49.99999999997225,11.7,0.8507192746852279,0.19516829782321676,-3.2544052661065415e-08,-7.031456095152322e-08,1559578538639.6345,9.9999999999943,0.021990171365417865,0.055121835685374855,5.823840919284289e-05,0.03162274405763114,0.8660972669664689,525.0,0.1870827990241361,0.8154753864588076,0.0027229119189343897,0.0316227766016838,0.18708286933869706,-0.5152074052844325,0.9949258048029439,3.7501130175809916e-05,0.45540627860616406,45.0,reflection,s,110.0,2.79851650630953e-06,1009.0,2.8975645354050103e-06,0.9999994454514366,95.62036168980734,local,0.35371657568069315,5.8198707479676284e-05,9.836913572861843e-06,0.01,2.7746693831431912e-11,0.0,-1083367075918.9885,5.700329097635404e-12,-0.021622744057631135,-7.186318203034059e-05,0.0,0.006667200975863902,-6.494380300203773e-08,True,True,True,0.19375,50.0,11.7,476211462720.64594,10.0,0.01,0.8660254037844386,525.0,0.19375,0.8154753215150046,1.5099868930078929e-09
