abs_err_epi_thickness_um,abs_err_eps_inf,abs_err_n1_cm3,abs_err_oxide_thickness_um,abs_err_sigma1_s_per_m,abs_err_sigma2_s_per_m,abs_err_substrate_thickness_um,abs_err_tau1_ps,abs_err_tau2_ps,case_id,clean_peak_abs,data_fit,final_objective_value,fit_epi_thickness_um,fit_eps_inf,fit_gamma1_thz,fit_gamma2_thz,fit_minus_initial_sigma1_s_per_m,fit_minus_initial_tau1_ps,fit_n1_cm3,fit_oxide_thickness_um,fit_plasma_freq1_thz,fit_plasma_freq2_thz,fit_sigma,fit_sigma1_s_per_m,fit_sigma2_s_per_m,fit_substrate_thickness_um,fit_tau1_ps,fit_tau2_ps,initial_objective_value,initial_sigma1_s_per_m,initial_tau1_ps,log10_true_over_fit_n1,max_abs_parameter_correlation,max_abs_residual,mean_abs_parameter_correlation,measurement_angle_deg,measurement_mode,measurement_polarization,noise_dynamic_range_db,noise_rms,noise_seed,noise_sigma,objective_improvement_fraction,observed_snr_db,optimizer_stage,recovery_error,relative_l2,residual_rms,sigma1_s_per_m,signed_err_epi_thickness_um,signed_err_eps_inf,signed_err_n1_cm3,signed_err_oxide_thickness_um,signed_err_sigma1_s_per_m,signed_err_sigma2_s_per_m,signed_err_substrate_thickness_um,signed_err_tau1_ps,signed_err_tau2_ps,stuck_to_initial,stuck_to_initial_sigma1_s_per_m,stuck_to_initial_tau1_ps,tau1_ps,true_epi_thickness_um,true_eps_inf,true_n1_cm3,true_oxide_thickness_um,true_sigma1_s_per_m,true_sigma2_s_per_m,true_substrate_thickness_um,true_tau1_ps,true_tau2_ps,weighted_data_fit
7.655518804483563e-05,0.0,80977499420.0,4.931343436176405e-05,0.0030763809126259645,0.011058131495019552,0.0,2.1985350306064078e-05,2.2771270527410792e-05,0,0.3403704875910126,6.898960103269826e-10,5.2113911249865605e-11,70.00007655518804,11.7,1.5911996001128,0.1951628636533814,-21.619700220771172,-0.08706088398839099,922740686520671.6,9.999950686565638,0.5348904251665408,1.574998660551388,2.6605711472530494e-05,10.003076380912626,707.1178393180426,725.0,0.10002198535030607,0.815498092785532,0.0034531236579139766,31.622776601683796,0.18708286933869706,-3.8114309787666746e-05,0.9227583529533386,4.044879169614636e-06,0.3549187499238347,45.0,transmission,s,110.0,1.0319923929073565e-06,1000.0,1.076345989089678e-06,0.9999999849081828,91.56487991106559,local,0.00011610253035601321,2.6265871588945657e-05,1.0263889130283277e-06,10.0,-7.655518804483563e-05,0.0,-80977499420.0,4.931343436176405e-05,-0.0030763809126259645,-0.011058131495019552,0.0,-2.1985350306064078e-05,-2.2771270527410792e-05,False,False,False,0.1,70.0,11.7,922659709021251.6,10.0,10.0,707.1067811865476,725.0,0.1,0.8154753215150046,5.2113911249865605e-11
5.938243994307868e-05,0.0,133494982458.75,5.417508155503015e-05,0.003298818667801129,0.007053119220813642,0.0,1.8781696483838317e-05,2.1939491278710754e-05,1,0.3408059057624807,7.512144345937088e-10,5.7197755023175555e-11,69.99994061756006,11.7,1.4411581195246115,0.19516306271281159,-21.619477783015995,-0.07664742097554654,835749835228120.5,10.000054175081555,0.5090531608666394,1.5749950034836004,2.7753118577003553e-05,10.003298818667801,707.1138343057684,725.0,0.11043544836315052,0.8154972610062833,0.0034969860209894347,31.622776601683796,0.18708286933869706,-6.937574209368891e-05,0.9296025935662068,3.1268660969927323e-06,0.38346188896745287,45.0,transmission,s,110.0,1.0723694417339548e-06,1001.0,1.0777229022461428e-06,0.9999999836436992,91.24828811870641,local,0.00011396184193131967,2.7408291347577803e-05,1.0731009036737202e-06,10.0,5.938243994307868e-05,0.0,-133494982458.75,-5.417508155503015e-05,-0.003298818667801129,-0.007053119220813642,0.0,-1.8781696483838317e-05,-2.1939491278710754e-05,False,False,False,0.11041666666666668,70.0,11.7,835616340245661.8,10.0,10.0,707.1067811865476,725.0,0.11041666666666668,0.8154753215150046,5.7197755023175555e-11
1.1661989191225075e-05,0.0,89414212509.625,1.8185132651282743e-05,0.0032679310732053324,0.0026620227978355615,0.0,2.5341051968538753e-05,1.4351690549974094e-05,2,0.3412232327391196,7.355846933841994e-10,5.866411331730344e-11,69.99998833801081,11.7,1.317420644829686,0.19517174822745575,-21.626044532757,-0.06627487705733226,763491034632664.1,10.000018185132651,0.4865494203259805,1.5750192299694363,2.7460786274986585e-05,9.996732068926795,707.1041191637497,725.0,0.1208079922813648,0.8154609698244546,0.0035608974897229444,31.622776601683796,0.18708286933869706,5.085825982766167e-05,0.9354191921035074,3.3048380382733056e-06,0.43101640465631075,45.0,transmission,s,110.0,1.063702030038187e-06,1002.0,1.0790426060213534e-06,0.9999999835254697,91.33495761201834,local,0.00011926107258220725,2.712166464994728e-05,1.063859914660083e-06,10.0,1.1661989191225075e-05,0.0,89414212509.625,-1.8185132651282743e-05,0.0032679310732053324,0.0026620227978355615,0.0,2.5341051968538753e-05,1.4351690549974094e-05,False,False,False,0.12083333333333333,70.0,11.7,763580448845173.8,10.0,10.0,707.1067811865476,725.0,0.12083333333333333,0.8154753215150046,5.866411331730344e-11
9.25760670611453e-06,0.0,9209244255.375,1.6135602201927668e-05,0.0016178827030000065,0.005540053242384602,0.0,1.9515549756127237e-05,1.0234353687854636e-06,3,0.3416210741560307,7.258424414461356e-10,6.098500465563334e-11,70.0000092576067,11.7,1.212789419765032,0.19516806842702575,-21.624394484386798,-0.05585238488845318,702969616676698.4,9.999983864397798,0.4668670952176604,1.5750135166923498,2.7242543152302236e-05,9.998382117297,707.1123212397899,725.0,0.13123048445024388,0.8154763449503734,0.003639930779936785,31.622776601683796,0.18708286933869706,5.6894319044877154e-06,0.9404144627427894,3.043936638781608e-06,0.46094346162538735,45.0,transmission,s,110.0,1.0587479538753517e-06,1003.0,1.0803006910463413e-06,0.9999999832455592,91.3909906717113,local,6.748470562752117e-05,2.6941463238772603e-05,1.058676543031551e-06,10.0,-9.25760670611453e-06,0.0,9209244255.375,1.6135602201927668e-05,0.0016178827030000065,-0.005540053242384602,0.0,1.9515549756127237e-05,-1.0234353687854636e-06,False,False,False,0.13125,70.0,11.7,702978825920953.8,10.0,10.0,707.1067811865476,725.0,0.13125,0.8154753215150046,6.098500465563334e-11
5.368465727428884e-05,0.0,18422765144.75,4.315281755928879e-05,0.004534234566300199,0.0022665027512402958,0.0,6.022601605196187e-05,1.126175457022427e-05,4,0.3419989084814165,7.571747751540038e-10,5.557627726115855e-11,70.00005368465727,11.7,1.1229692550177655,0.19516561811941374,-21.618242367117496,-0.04535597665597843,651307629133087.1,9.99995684718244,0.44938448187748764,1.574994935540789,2.786632110302847e-05,10.0045342345663,707.1045146837963,725.0,0.14172689268271862,0.8154865832695748,0.003730772780091421,31.622776601683796,0.18708286933869706,-1.2284545803016193e-05,0.9489986717233454,4.087620244199591e-06,0.4762878796612092,45.0,transmission,s,110.0,1.082421003905615e-06,1004.0,1.0814955080927537e-06,0.9999999851032801,91.21364301950192,local,0.00019083127792098687,2.751680895659967e-05,1.08312111554821e-06,10.0,-5.368465727428884e-05,0.0,-18422765144.75,4.315281755928879e-05,-0.004534234566300199,0.0022665027512402958,0.0,-6.022601605196187e-05,-1.126175457022427e-05,False,False,False,0.14166666666666666,70.0,11.7,651289206367942.4,10.0,10.0,707.1067811865476,725.0,0.14166666666666666,0.8154753215150046,5.557627726115855e-11
1.7371883416217315e-05,0.0,45405296482.375,4.1268577959385766e-05,0.0015500559621006715,0.0013762890894213342,0.0,1.2190603158546143e-05,3.4050199364532574e-06,5,0.3423568064466878,7.563041863120178e-10,5.359744045015046e-11,70.00001737188342,11.7,1.0464143781006412,0.19516749844372058,-21.621226545721697,-0.03498734540220516,606725761913195.8,9.99995873142204,0.43373174200205766,1.5750035141008831,2.7852688404993875e-05,10.0015500559621,707.1054048974581,725.0,0.1520955239364919,0.815478726534941,0.003829630127630597,31.622776601683796,0.18708286933869706,-3.2502341004456756e-05,0.9658949483209965,3.57792266560044e-06,0.484044218629885,45.0,transmission,s,110.0,1.083896539033976e-06,1005.0,1.0826272808329507e-06,0.9999999860045387,91.21574477177482,local,5.358541315739801e-05,2.750098518802586e-05,1.0842343860458585e-06,10.0,-1.7371883416217315e-05,0.0,-45405296482.375,4.1268577959385766e-05,-0.0015500559621006715,0.0013762890894213342,0.0,-1.2190603158546143e-05,-3.4050199364532574e-06,False,False,False,0.15208333333333335,70.0,11.7,606680356616713.4,10.0,10.0,707.1067811865476,725.0,0.15208333333333335,0.8154753215150046,5.359744045015046e-11
4.4858365484401475e-05,0.0,33305592626.875,4.914009443623968e-05,9.741322375411698e-05,0.0005808094186932067,0.0,7.948531699220052e-06,2.45355790129409e-08,6,0.3426952302530924,7.394368541964919e-10,5.8106537589546865e-11,70.00004485836548,11.7,0.9794629439024809,0.19516831923838254,-21.62267918846004,-0.02459081787039627,567823895759550.9,9.999950859905564,0.41959646541721796,1.5750090056270925,2.7521163877125164e-05,10.000097413223754,707.1073619959662,725.0,0.16249205146830079,0.8154752969794256,0.003934519201854375,31.622776601683796,0.18708286933869706,-2.5474199700278175e-05,0.9732077909787461,4.153587988679243e-06,0.48897232018763226,45.0,transmission,s,110.0,1.0744669019516133e-06,1006.0,1.0836974708756131e-06,0.9999999852316039,91.30477784649125,local,1.531647999393594e-05,2.719258822172858e-05,1.0736974458680378e-06,10.0,-4.4858365484401475e-05,0.0,-33305592626.875,4.914009443623968e-05,-9.741322375411698e-05,-0.0005808094186932067,0.0,7.948531699220052e-06,2.45355790129409e-08,False,False,False,0.1625,70.0,11.7,567790590166924.0,10.0,10.0,707.1067811865476,725.0,0.1625,0.8154753215150046,5.8106537589546865e-11
4.451307897568313e-05,0.0,107566123166.375,3.7406545153828574e-05,0.003471685649351741,0.0024952887139306767,0.0,2.516773968908037e-05,1.1470451760087208e-05,7,0.3430148911185804,7.392584729640137e-10,5.830381468925596e-11,70.00004451307898,11.7,0.9202801834397929,0.19516556817315286,-21.619304916034444,-0.014141034932341312,533693903870396.2,9.999962593454846,0.4067907881480407,1.5750000371715596,2.7531836186549596e-05,10.003471685649352,707.1092764752615,725.0,0.17294183440635574,0.8154867919667647,0.004043186726546714,31.622776601683796,0.18708286933869706,-8.754097015466578e-05,0.9762278012909092,3.036308877195186e-06,0.4923796350853958,45.0,transmission,s,110.0,1.075453120696523e-06,1007.0,1.0847083272893759e-06,0.9999999855797372,91.30916097453124,local,0.00011558494065617472,2.718930806335487e-05,1.0750960618597512e-06,10.0,-4.451307897568313e-05,0.0,-107566123166.375,3.7406545153828574e-05,-0.003471685649351741,-0.0024952887139306767,0.0,-2.516773968908037e-05,-1.1470451760087208e-05,False,False,False,0.17291666666666666,70.0,11.7,533586337747229.8,10.0,10.0,707.1067811865476,725.0,0.17291666666666666,0.8154753215150046,5.830381468925596e-11
5.221875694871869e-05,0.0,70928802977.125,3.253931748048444e-05,0.00105792596034604,0.0015563113934149442,0.0,6.443899359498406e-06,4.8192340225128305e-06,8,0.3433166490912663,7.487469869209718e-10,5.178498962861731e-11,69.99994778124305,11.7,0.8680873594053603,0.19516946676393235,-21.623834527644142,-0.003743092106004209,503198003390432.8,10.00003253931748,0.3949975876162694,1.575011255770524,2.769108756939214e-05,9.998942074039654,707.1052248751541,725.0,0.18333977723269285,0.8154705022809821,0.004154104986240261,31.622776601683796,0.18708286933869706,6.121212074214216e-05,0.9773022754867009,4.067403689074749e-06,0.49432158827326994,45.0,transmission,s,110.0,1.0837863808467422e-06,1008.0,1.0856625697851783e-06,0.9999999875340201,91.25370694616512,local,3.423584211670985e-05,2.7363241528023898e-05,1.083420879575571e-06,10.0,5.221875694871869e-05,0.0,70928802977.125,-3.253931748048444e-05,0.00105792596034604,0.0015563113934149442,0.0,-6.443899359498406e-06,4.8192340225128305e-06,False,False,False,0.18333333333333335,70.0,11.7,503268932193409.94,10.0,10.0,707.1067811865476,725.0,0.18333333333333335,0.8154753215150046,5.178498962861731e-11
8.480181689662913e-05,0.0,176510929774.0,0.00017619155997650182,0.008883196896599443,0.002598579906248233,0.0,0.00010026005826355155,1.9114795504981963e-05,9,0.3436014432846204,7.091261349369351e-10,5.959417680650859e-11,69.9999151981831,11.7,0.8210200133033599,0.1951637387153125,-21.6138934047872,0.006767390719566502,476387973650419.94,10.000176191559977,0.3843309711019455,1.5749869822562301,2.696593057844373e-05,10.0088831968966,707.1041826066413,725.0,0.19385026005826356,0.8154944363105096,0.0042656504028630625,31.622776601683796,0.18708286933869706,-0.00016094429777497592,0.9810517275158653,3.3773600840100726e-06,0.49534558159436953,45.0,transmission,s,110.0,1.04942096161196e-06,1009.0,1.0865631681005675e-06,0.9999999860292872,91.5444455364795,local,0.0003155814338314627,2.662942235454865e-05,1.0556832344780833e-06,10.0,8.480181689662913e-05,0.0,-176510929774.0,-0.00017619155997650182,-0.008883196896599443,0.002598579906248233,0.0,-0.00010026005826355155,-1.9114795504981963e-05,False,False,False,0.19375,70.0,11.7,476211462720645.94,10.0,10.0,707.1067811865476,725.0,0.19375,0.8154753215150046,5.959417680650859e-11
