abs_err_n_cm3,abs_err_sigma_s_per_m,abs_err_tau_ps,abs_err_thickness_um,case_id,clean_peak_abs,data_fit,final_objective_value,fit_gamma_thz,fit_minus_initial_sigma_s_per_m,fit_minus_initial_tau_ps,fit_n_cm3,fit_plasma_freq_thz,fit_sigma,fit_sigma_s_per_m,fit_tau_ps,fit_thickness_um,initial_objective_value,initial_sigma_s_per_m,initial_tau_ps,log10_true_over_fit_n,max_abs_parameter_correlation,max_abs_residual,mean_abs_parameter_correlation,measurement_angle_deg,measurement_mode,measurement_polarization,noise_dynamic_range_db,noise_rms,noise_seed,noise_sigma,objective_improvement_fraction,observed_snr_db,optimizer_stage,recovery_error,relative_l2,residual_rms,sigma_s_per_m,signed_err_n_cm3,signed_err_sigma_s_per_m,signed_err_tau_ps,signed_err_thickness_um,stuck_to_initial,stuck_to_initial_sigma_s_per_m,stuck_to_initial_tau_ps,tau_ps,true_eps_inf,true_n_cm3,true_sigma_s_per_m,true_tau_ps,true_thickness_um,weighted_data_fit
2420433588.9918213,6.1425842798217e-05,0.00035100541949856234,9.164261314253963e-06,0,0.6933080342501439,1.0006256285411674e-09,7.008852464360924e-11,1.585982546229387,-0.08993857415720177,-0.21564899458050144,925080142610.2434,0.016936149083033224,3.162953458222296e-05,0.010061425842798217,0.10035100541949857,524.9999908357387,2.062992912669305e-06,0.09999999999999999,0.316,-0.0011378025449231334,0.8910302453020317,8.411285207444302e-06,0.6783021343417032,0.0,transmission,s,110.0,2.1020877055224304e-06,1000.0,2.1924325083244836e-06,0.999966025804445,90.00279333634224,local,0.002166651711126449,3.163266711077596e-05,2.1034199331938493e-06,0.01,-2420433588.9918213,-6.1425842798217e-05,-0.00035100541949856234,9.164261314253963e-06,False,False,False,0.1,11.7,922659709021.2516,0.01,0.1,525.0,7.008852464360924e-11
3030998646.878784,7.756050858416519e-05,0.00044739494603787677,2.8079823778170976e-05,1,0.6933303877384371,1.0745939358504339e-09,7.213195042471718e-11,1.1612690107512424,-0.09007756050858416,-0.17894739494603787,667994244277.6677,0.014391675194075639,3.276777116700003e-05,0.009922439491415835,0.13705260505396213,524.9999719201762,2.079654189619875e-06,0.09999999999999999,0.316,0.0019661375324906555,0.7770522210817917,6.410222964034484e-06,0.4832792341089413,0.0,transmission,s,110.0,2.1816121970444393e-06,1001.0,2.19250319626114e-06,0.9999653154111944,89.68059872765508,local,0.002592121203835566,3.278099961640026e-05,2.1798686516013425e-06,0.01,3030998646.878784,7.756050858416519e-05,0.00044739494603787677,2.8079823778170976e-05,False,False,False,0.1375,11.7,671025242924.5465,0.01,0.1375,525.0,7.213195042471718e-11
4358477654.631409,6.430777199506119e-06,0.0013231926163139729,1.9857397887790285e-05,2,0.6933482811002858,1.0573677415249154e-09,6.858741447299512e-11,0.9163857022100306,-0.08999356922280048,-0.142323192616314,531592597095.3467,0.012838504889225406,3.250321332159275e-05,0.010006430777199506,0.17367680738368602,525.0000198573979,2.107657214508949e-06,0.09999999999999999,0.316,-0.0035754169335505508,0.6873905813157238,6.6940212196456295e-06,0.3960829010343779,0.0,transmission,s,110.0,2.1613885086590624e-06,1002.0,2.1925597800395795e-06,0.9999674579841538,89.76178150058259,local,0.0023391266335450957,3.251719147658536e-05,2.1623923567114882e-06,0.01,-4358477654.631409,-6.430777199506119e-06,0.0013231926163139729,-1.9857397887790285e-05,False,False,False,0.175,11.7,527234119440.7153,0.01,0.175,525.0,6.858741447299512e-11
970297816.4500732,5.152276597635182e-05,0.0006185991306846828,5.694425908586709e-06,3,0.6933624487245293,1.0437858120117433e-09,7.313240028332785e-11,0.7467904900890479,-0.08994847723402363,-0.10288140086931533,435163102061.745,0.011615850680447164,3.2252897126485474e-05,0.010051522765976352,0.21311859913068468,525.0000056944259,2.1400868473513847e-06,0.09999999999999999,0.316,-0.0009694422259234173,0.6316777181527271,6.188346780641382e-06,0.3912573547844764,0.0,transmission,s,110.0,2.14886062194695e-06,1003.0,2.1926045820012226e-06,0.9999658273679997,89.81250938290528,local,0.0018131329457592657,3.2307674196879965e-05,2.1485193065959823e-06,0.01,-970297816.4500732,-5.152276597635182e-05,-0.0006185991306846828,-5.694425908586709e-06,False,False,False,0.2125,11.7,434192804245.2949,0.01,0.2125,525.0,7.313240028332785e-11
368432014.38287354,3.988712733733399e-05,0.0012479960211981278,1.539781692372344e-05,4,0.6933737293552585,1.0892672418078938e-09,8.975525068981685e-11,0.6334575622981973,-0.08996011287266266,-0.06475200397880188,368695451594.1178,0.010691998240664973,3.299927342610567e-05,0.010039887127337334,0.25124799602119813,525.0000153978169,2.179584137107706e-06,0.09999999999999999,0.316,0.00043376748072104624,0.606317043879177,8.34790810992636e-06,0.3828533810204471,0.0,transmission,s,110.0,2.1945166186144227e-06,1004.0,2.1926402544877704e-06,0.9999588200110462,89.63008819007526,local,0.001957764474612081,3.300404886991737e-05,2.1948790930539435e-06,0.01,368432014.38287354,-3.988712733733399e-05,-0.0012479960211981278,-1.539781692372344e-05,False,False,False,0.25,11.7,369063883608.5007,0.01,0.25,525.0,8.975525068981685e-11
1273032271.0178833,2.6857238966270305e-05,0.001905031744481922,3.243791866225365e-06,5,0.6933828135171063,1.0900380621604214e-09,7.714093962637609e-11,0.5572750250610211,-0.09002685723896627,-0.030405031744481947,322198148452.3228,0.009995085392003635,3.301515476027913e-05,0.00997314276103373,0.28559496825551806,524.9999967562081,2.2135438376937832e-06,0.09999999999999999,0.316,-0.0017193332696400568,0.5972394087402372,7.246051389964148e-06,0.37471003173728,0.0,transmission,s,110.0,2.195239637842247e-06,1005.0,2.1926689811298428e-06,0.9999651504802785,89.62738236908258,local,0.002202342722667013,3.301572446820486e-05,2.1956947800270997e-06,0.01,-1273032271.0178833,2.6857238966270305e-05,0.001905031744481922,3.243791866225365e-06,False,False,False,0.2875,11.7,320925116181.30493,0.01,0.2875,525.0,7.714093962637609e-11
3528594685.162903,3.618351081397311e-05,0.005151429651375661,1.5416335259033076e-05,6,0.6933902240581652,1.0680557677808245e-09,7.648112804615935e-11,0.4975946677467457,-0.09003618351081397,0.0038485703486242917,287423889768.625,0.009440313565493089,3.265909182563595e-05,0.009963816489186027,0.3198485703486243,525.0000154163353,2.2474172507650706e-06,0.09999999999999999,0.316,-0.005364667342465806,0.595183099363916,8.453459086691685e-06,0.3669798943550558,0.0,transmission,s,110.0,2.174015802137295e-06,1006.0,2.192692415318283e-06,0.9999659693241119,89.71189431028152,local,0.0050312694198480345,3.268112249878857e-05,2.1734717475269177e-06,0.01,-3528594685.162903,3.618351081397311e-05,0.005151429651375661,-1.5416335259033076e-05,False,False,False,0.32499999999999996,11.7,283895295083.4621,0.01,0.32499999999999996,525.0,7.648112804615935e-11
2462732605.032074,5.168430562449422e-05,0.0016498594300841107,2.125255002738413e-05,7,0.6933963477181654,1.0713687550233655e-09,6.820497760129862e-11,0.43705891673549496,-0.09005168430562449,0.04814985943008415,252064083676.6925,0.008840574180253793,3.272751730387274e-05,0.009948315694375506,0.36414985943008416,525.00002125255,2.2857357926528394e-06,0.09999999999999999,0.316,0.0042225772573530156,0.5975482534140022,6.121961736813009e-06,0.38547547097981916,0.0,transmission,s,110.0,2.1740026026314188e-06,1007.0,2.1927117800315e-06,0.9999701606030668,89.71205204987704,local,0.0021158693724128972,3.2731769811963506e-05,2.1768692189044052e-06,0.01,2462732605.032074,5.168430562449422e-05,-0.0016498594300841107,-2.125255002738413e-05,False,False,False,0.36250000000000004,11.7,254526816281.72458,0.01,0.36250000000000004,525.0,6.820497760129862e-11
3189979350.262451,0.00019522336562793376,0.0023090700843174106,3.340573675814085e-05,8,0.6934014700316876,1.0867653317924905e-09,7.235604731184115e-11,0.4001975683117514,-0.09019522336562792,0.08169092991568261,227474947905.05045,0.008398307571183865,3.2942979333288697e-05,0.009804776634372066,0.3976909299156826,524.9999665942632,2.3100381871989566e-06,0.09999999999999999,0.316,0.006047990553773888,0.6009123661832387,8.047093307764035e-06,0.4075671020685228,0.0,transmission,s,110.0,2.188938612993618e-06,1008.0,2.19272797820912e-06,0.9999686775535951,89.6526691695679,local,0.006310096574857574,3.2966124003171666e-05,2.1924783611599757e-06,0.01,3189979350.262451,0.00019522336562793376,0.0023090700843174106,3.340573675814085e-05,False,False,False,0.4,11.7,230664927255.3129,0.01,0.4,525.0,7.235604731184115e-11
2938278027.006775,0.00014925202049442983,0.012451765024400818,3.243465243940591e-06,9,0.6934058032708456,1.0052413536103974e-09,7.134356974243522e-11,0.374439722355351,-0.09014925202049442,0.10904823497559918,213831925803.29288,0.008142565528205407,3.170470225941538e-05,0.00985074797950557,0.4250482349755992,525.0000032434652,2.3320789170387545e-06,0.09999999999999999,0.316,-0.006009048528806453,0.6039341964054887,6.842009926997551e-06,0.42262421871267025,0.0,transmission,s,110.0,2.11778675287162e-06,1009.0,2.1927416811145054e-06,0.9999694077377823,89.93977002055806,local,0.009997470540392368,3.170554137071937e-05,2.1086538530083014e-06,0.01,-2938278027.006775,0.00014925202049442983,0.012451765024400818,-3.243465243940591e-06,False,False,False,0.4375,11.7,210893647776.2861,0.01,0.4375,525.0,7.134356974243522e-11
