abs_err_n_cm3,abs_err_sigma_s_per_m,abs_err_tau_ps,abs_err_thickness_um,case_id,clean_peak_abs,data_fit,final_objective_value,fit_gamma_thz,fit_minus_initial_sigma_s_per_m,fit_minus_initial_tau_ps,fit_n_cm3,fit_plasma_freq_thz,fit_sigma,fit_sigma_s_per_m,fit_tau_ps,fit_thickness_um,initial_objective_value,initial_sigma_s_per_m,initial_tau_ps,log10_true_over_fit_n,max_abs_parameter_correlation,max_abs_residual,mean_abs_parameter_correlation,measurement_angle_deg,measurement_mode,measurement_polarization,noise_dynamic_range_db,noise_rms,noise_seed,noise_sigma,objective_improvement_fraction,observed_snr_db,optimizer_stage,recovery_error,relative_l2,residual_rms,sigma_s_per_m,signed_err_n_cm3,signed_err_sigma_s_per_m,signed_err_tau_ps,signed_err_thickness_um,stuck_to_initial,stuck_to_initial_sigma_s_per_m,stuck_to_initial_tau_ps,tau_ps,true_eps_inf,true_n_cm3,true_sigma_s_per_m,true_tau_ps,true_thickness_um,weighted_data_fit
1334691633.4592285,6.149798621962396e-06,0.00020645361172978716,1.3378861467572278e-05,0,0.6535296025197079,7.90356870607871e-10,8.171242892635137e-11,1.588270389336134,-0.08999385020137803,-0.2157935463882702,921325017387.7924,0.016901740155486535,2.8221583329511725e-05,0.010006149798621963,0.10020645361172979,525.0000133788615,1.0157875738411372e-06,0.09999999999999999,0.316,0.000628692097475687,0.8918296168101869,7.898797271862351e-06,0.6824598531547744,45.0,reflection,s,110.0,1.981480777353882e-06,1000.0,2.066642062306793e-06,0.9999195575620035,91.02505817715016,local,0.0006608910497809681,2.8113286371533854e-05,1.9822299767612973e-06,0.01,1334691633.4592285,-6.149798621962396e-06,-0.00020645361172978716,-1.3378861467572278e-05,False,False,False,0.1,11.7,922659709021.2516,0.01,0.1,525.0,8.171242892635137e-11
97478694.88598633,5.92518105510878e-06,0.00010143089577507869,2.187774271078524e-06,1,0.653529400835051,8.506828939809449e-10,8.173114434764062e-11,1.1583449822622744,-0.0900059251810551,-0.17860143089577507,671122721619.4325,0.014425336739033744,2.9269923727008154e-05,0.009994074818944891,0.13739856910422493,524.9999978122257,1.0198001748023454e-06,0.09999999999999999,0.316,-6.308463818434629e-05,0.7752015020625596,5.98651504314044e-06,0.4855614023363921,45.0,reflection,s,110.0,2.05637562870935e-06,1001.0,2.066641424523908e-06,0.9999198557262814,90.70300357371217,local,0.0002906624630865022,2.9166468658048833e-05,2.056538590248165e-06,0.01,-97478694.88598633,5.92518105510878e-06,0.00010143089577507869,2.187774271078524e-06,False,False,False,0.1375,11.7,671025242924.5465,0.01,0.1375,525.0,8.173114434764062e-11
3142901797.4280396,2.3021763384242777e-05,0.0014375063757903483,1.1430649578869634e-05,2,0.6535292690561729,8.344373417373922e-10,7.611313150686538e-11,0.9169892628789436,-0.09002302176338424,-0.14243750637579036,530377021238.1433,0.012823817788217168,2.8988286621721035e-05,0.009976978236615757,0.17356249362420964,524.9999885693504,1.0325546183689834e-06,0.09999999999999999,0.316,-0.0025811924123114787,0.6844720167556121,6.310575054827364e-06,0.39607469248148003,45.0,reflection,s,110.0,2.0372599034482226e-06,1002.0,2.0666410078025057e-06,0.9999262865807264,90.7842918941904,local,0.002630007180895437,2.8886629116900994e-05,2.036844248409979e-06,0.01,-3142901797.4280396,2.3021763384242777e-05,0.0014375063757903483,1.1430649578869634e-05,False,False,False,0.175,11.7,527234119440.7153,0.01,0.175,525.0,7.611313150686538e-11
3119830029.3321533,5.612820454328066e-06,0.0014178032141144992,1.146859870004846e-05,3,0.6535291818168921,8.233442495602053e-10,7.840167179109483e-11,0.7440004557853189,-0.09000561282045431,-0.10208219678588551,431072974215.96277,0.011561132713757694,2.8758424599594e-05,0.009994387179545672,0.2139178032141145,524.9999885314013,1.0500083007197454e-06,0.09999999999999999,0.316,0.003131825784847213,0.625015329289548,5.814569856582748e-06,0.39135676246701917,45.0,reflection,s,110.0,2.025409836778369e-06,1003.0,2.066640731927677e-06,0.9999253323314327,90.83510037250493,local,0.0020493867416035354,2.8693975840935765e-05,2.02329319554771e-06,0.01,3119830029.3321533,5.612820454328066e-06,-0.0014178032141144992,1.146859870004846e-05,False,False,False,0.2125,11.7,434192804245.2949,0.01,0.2125,525.0,7.840167179109483e-11
1526934698.0255737,6.88420745124027e-05,0.000683892847189449,4.82611756069673e-06,4,0.6535291232074282,8.597491208449251e-10,8.834960277053333e-11,0.63488300458503,-0.08993115792548759,-0.06531610715281055,370590818306.52625,0.010719445391968393,2.9433063133653783e-05,0.010068842074512403,0.25068389284718945,525.0000048261176,1.0662020003655545e-06,0.09999999999999999,0.316,-0.0017931076592853962,0.598315314324805,7.877310204395041e-06,0.3833966312351757,45.0,reflection,s,110.0,2.068409085762093e-06,1004.0,2.0666405465882785e-06,0.9999171361498664,90.65274210029457,local,0.002267729064002291,2.9321478831138882e-05,2.0675673111910407e-06,0.01,-1526934698.0255737,-6.88420745124027e-05,-0.000683892847189449,-4.82611756069673e-06,False,False,False,0.25,11.7,369063883608.5007,0.01,0.25,525.0,8.834960277053333e-11
163057295.48223877,3.94658513605782e-05,0.000988066715257141,3.775860250243568e-06,5,0.6535290835823622,8.606221998679955e-10,1.0023386944371323e-10,0.5516864004256513,-0.08996053414863941,-0.027511933284742884,321088173476.7872,0.009977853967502342,2.9451760439548482e-05,0.010039465851360578,0.2884880667152571,525.0000037758603,1.0842693489182016e-06,0.09999999999999999,0.316,-0.00022060255239375704,0.5863676015258741,6.820605660223626e-06,0.3745390259876677,45.0,reflection,s,110.0,2.0690633237441416e-06,1005.0,2.0666404212828178e-06,0.9999075563008918,90.65008651053903,local,0.0016041023201389777,2.933636309885729e-05,2.0686366657502475e-06,0.01,-163057295.48223877,-3.94658513605782e-05,-0.000988066715257141,-3.775860250243568e-06,False,False,False,0.2875,11.7,320925116181.30493,0.01,0.2875,525.0,1.0023386944371323e-10
1166134388.5525513,1.895116113528536e-06,0.0013908551214123488,7.924030001049687e-06,6,0.6535290572489297,8.461697676542257e-10,7.594646012462677e-11,0.49181225441452664,-0.09000189511611352,0.007609144878587604,285061429472.01465,0.00940143651964777,2.9184292044995612e-05,0.009998104883886472,0.3236091448785876,524.99999207597,1.0997096427291963e-06,0.09999999999999999,0.316,-0.0017802634802270144,0.5827438051673317,7.964462118603861e-06,0.36671160094928695,45.0,reflection,s,110.0,2.0490373938355398e-06,1006.0,2.0666403380091927e-06,0.9999309395342427,90.73463936344513,local,0.0013183249430804291,2.908899736419641e-05,2.05121267316651e-06,0.01,-1166134388.5525513,1.895116113528536e-06,0.0013908551214123488,7.924030001049687e-06,False,False,False,0.32499999999999996,11.7,283895295083.4621,0.01,0.32499999999999996,525.0,7.594646012462677e-11
1611618039.4661865,5.7166914842088357e-05,0.004340104726536009,8.718357776160701e-06,7,0.6535290409216938,8.436878208518039e-10,7.547324917525735e-11,0.4443684097304545,-0.09005716691484209,0.04215989527346403,256138434321.19077,0.008911737053749293,2.915725896554926e-05,0.009942833085157912,0.35815989527346404,524.9999912816422,1.1147585620389988e-06,0.09999999999999999,0.316,-0.002741205297779794,0.5826844237715637,5.745979897474503e-06,0.36934113158399073,45.0,reflection,s,110.0,2.0490068061858167e-06,1007.0,2.0666402863779394e-06,0.9999322963269847,90.73483100423562,local,0.004096541921212802,2.9046304771034194e-05,2.0482141565992583e-06,0.01,-1611618039.4661865,5.7166914842088357e-05,0.004340104726536009,8.718357776160701e-06,False,False,False,0.36250000000000004,11.7,254526816281.72458,0.01,0.36250000000000004,525.0,7.547324917525735e-11
1773031840.878418,0.00012933708766140958,0.0021150965587724,3.8028250628485694e-06,8,0.6535290326945095,8.55042594521905e-10,8.538966611466817e-11,0.4000024673351409,-0.0901293370876614,0.08188490344122762,228891895414.43448,0.00842442360572787,2.9335939511410387e-05,0.00987066291233859,0.3978849034412276,525.0000038028251,1.1316570285912973e-06,0.09999999999999999,0.316,0.003351149313446714,0.5845108634859358,7.4330242665586466e-06,0.39472303854488094,45.0,reflection,s,110.0,2.0630687937710613e-06,1008.0,2.066640260361298e-06,0.9999245445714052,90.67547663215842,local,0.0043165803759770555,2.9241111376312378e-05,2.061968719005455e-06,0.01,1773031840.878418,0.00012933708766140958,0.0021150965587724,-3.8028250628485694e-06,False,False,False,0.4,11.7,230664927255.3129,0.01,0.4,525.0,8.538966611466817e-11
1432251157.7949219,0.0002418091521106825,0.01345895868159569,4.3559400637604995e-06,9,0.6535290313874088,7.982827806516601e-10,7.14068744450229e-11,0.3753291016290778,-0.09024180915211068,0.10804104131840431,212325898934.08102,0.008113840652672519,2.8364774649584338e-05,0.009758190847889318,0.4240410413184043,525.0000043559401,1.1427794269078669e-06,0.09999999999999999,0.316,-0.0029394726872801454,0.5861055044047203,6.389290963463266e-06,0.40838779555121457,45.0,reflection,s,110.0,1.9959958782587805e-06,1009.0,2.0666402562278825e-06,0.9999375147357716,90.96260175902815,local,0.012189360077797995,2.825389850359876e-05,1.992360832986113e-06,0.01,-1432251157.7949219,0.0002418091521106825,0.01345895868159569,-4.3559400637604995e-06,False,False,False,0.4375,11.7,210893647776.2861,0.01,0.4375,525.0,7.14068744450229e-11
1175686306.939972,5.868184424473802e-05,0.005696863756444903,1.0575955570857332e-05,10,0.6535290361649853,8.527848760291099e-10,9.493877730536986e-11,0.33109211873812955,-0.08994131815575525,0.16469686375644488,193068462960.69196,0.007737143614996602,2.931782526533366e-05,0.010058681844244738,0.4806968637564449,525.0000105759556,1.1544545975352182e-06,0.09999999999999999,0.316,0.0026366073692782118,0.5894402613993492,7.08909503004812e-06,0.4314314330278059,45.0,reflection,s,110.0,2.0621799598085423e-06,1010.0,2.066640271335906e-06,0.9999177630913263,90.67930058302004,local,0.004078321045607834,2.9202480648552954e-05,2.059261672134644e-06,0.01,1175686306.939972,-5.868184424473802e-05,-0.005696863756444903,-1.0575955570857332e-05,False,False,False,0.475,11.7,194244149267.63193,0.01,0.475,525.0,9.493877730536986e-11
1937219547.0561218,0.00019536078674690233,0.015361681240100566,5.129653573021642e-06,11,0.6535290463370327,9.354027638797542e-10,1.004619212247865e-10,0.3201421759016763,-0.09019536078674689,0.18113831875989939,181968382282.9101,0.0075114357313268215,3.070317240502508e-05,0.009804639213253098,0.4971383187598994,525.0000051296536,1.1635991457666757e-06,0.09999999999999999,0.316,-0.0046482477809368095,0.5902630380019008,8.643316653867208e-06,0.436733856566296,45.0,reflection,s,110.0,2.1681636972499202e-06,1011.0,2.066640303502744e-06,0.9999136627750284,90.24402248705748,local,0.011137695056991699,3.058435488742167e-05,2.1567157747663135e-06,0.01,-1937219547.0561218,0.00019536078674690233,0.015361681240100566,-5.129653573021642e-06,False,False,False,0.5125,11.7,180031162735.85397,0.01,0.5125,525.0,1.004619212247865e-10
