freq_thz,real,imag,magnitude,phase_rad
0,-2.210311747091822e-12,0,2.210311747091822e-12,3.141592653589793
0.02631578947370815,-2.002292957863998e-12,-1.067943859160144e-12,2.269290897049036e-12,-2.651614221378115
0.0526315789474163,-1.306543886206702e-12,-2.05398774252737e-12,2.434321789130762e-12,-2.137338666228439
0.07894736842112444,-4.30499905303646e-14,-2.676659829814139e-12,2.677006004144428e-12,-1.586878414849636
0.1052631578948326,1.60055445780153e-12,-2.496713156824092e-12,2.965695729478477e-12,-1.000728240610757
0.1315789473685407,3.033609648523992e-12,-1.229787950327217e-12,3.273402801732148e-12,-0.3851422752056047
0.1578947368422489,3.465796722762212e-12,8.952598775110061e-13,3.579558236960297e-12,0.2527871030592826
0.1842105263159571,2.383706980762751e-12,3.047651867062625e-12,3.869139552012486e-12,0.9070375291669747
0.2105263157896652,-8.989373526880065e-15,4.131370388507085e-12,4.131380168402515e-12,1.572972205134276
0.2368421052633733,-2.728305390751465e-12,3.399259273997627e-12,4.358739946023664e-12,2.247131342416266
0.2631578947370815,-4.441858552491558e-12,9.683753189651434e-13,4.546191610427705e-12,2.926940037038516
0.2894736842107896,-4.184508206009088e-12,-2.11963702367484e-12,4.690732356284094e-12,-2.672723655210127
0.3157894736844978,-1.936837754409362e-12,-4.382081838535747e-12,4.791031384423434e-12,-1.986969470659982
0.3421052631582059,1.295977877956099e-12,-4.670688295447015e-12,4.847152546947263e-12,-1.300134832868183
0.3684210526319141,3.975006986171413e-12,-2.796782554174735e-12,4.86031616208737e-12,-0.6131325422497151
0.3947368421056222,4.81970368268728e-12,3.539273182103645e-13,4.832681257385481e-12,0.07330184830149415
0.4210526315793304,3.460101686586604e-12,3.279226324958865e-12,4.767140544584634e-12,0.7585658218521588
0.4473684210530385,5.987207014264981e-13,4.628564597219489e-12,4.667127243706803e-12,1.44215720089078
0.4736842105267466,-2.38215851576139e-12,3.86064497059666e-12,4.536436793696986e-12,2.123648509396414
0.5000000000004547,-4.129951073969575e-12,1.455933881535129e-12,4.379068318807597e-12,2.802665236930026
0.5263157894741629,-3.96251643847845e-12,-1.389542466963731e-12,4.199090948372944e-12,-2.804319542642708
0.5526315789478711,-2.126615740124847e-12,-3.388483171988659e-12,4.000539052802393e-12,-2.131263904333392
0.5789473684215792,4.124042100506882e-13,-3.764818121053685e-12,3.787338474058231e-12,-1.461689739770972
0.6052631578952874,2.492846573091738e-12,-2.546087373049541e-12,3.563263244299744e-12,-0.7959636559060759
0.6315789473689956,3.301824776374247e-12,-4.468116902981847e-13,3.331919497896966e-12,-0.1345055928278267
0.6578947368427037,2.684047335102888e-12,1.544588867410452e-12,3.096750694906068e-12,0.5221874668257223
0.6842105263164118,1.106968646030915e-12,2.638231067984463e-12,2.86105623002659e-12,1.173519075555164
0.7105263157901198,-6.450334271590162e-13,2.547624476338912e-12,2.628014192235959e-12,1.818775224405565
0.7368421052638282,-1.859940811771466e-12,1.517884444052229e-12,2.400698441868292e-12,2.457115722169521
0.7631578947375363,-2.178898242616014e-12,1.177952333705169e-13,2.182080032601914e-12,3.087583396725902
0.7894736842112444,-1.665361849415258e-12,-1.0616998516075e-12,1.975002953008222e-12,-2.574041506191236
0.8157894736849526,-6.802062562293037e-13,-1.647205343667375e-12,1.782124012301007e-12,-1.962412679641952
0.8421052631586607,3.335219000778152e-13,-1.57078946704055e-12,1.605807089160168e-12,-1.361575926100567
